Host : clust2
Date : Fri Apr 18 12:19:15 CEST 2025
Cœurs CPU alloués : 1
Importation done
Importing data...
From 2020-03-24T00:00:00.000000000 to 2020-07-21T00:00:00.000000000
Data importation done!
Iteration 0: Epsilon = inf, ESS = 1000 Acc. rate = 100% Numb. unique particles = 1000
Iteration 1: Espilon = 137361.3424, ESS = 950 Acc. rate = 81.58% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 2: Espilon = 101756.3307, ESS = 902 Acc. rate = 79.82% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 3: Espilon = 90020.5244, ESS = 856 Acc. rate = 79.32% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 4: Espilon = 81067.5077, ESS = 813 Acc. rate = 75.40% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 5: Espilon = 75290.8203, ESS = 772 Acc. rate = 73.83% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 6: Espilon = 72302.6124, ESS = 733 Acc. rate = 72.44% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 7: Espilon = 69808.9364, ESS = 696 Acc. rate = 64.66% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 8: Espilon = 68014.9906, ESS = 661 Acc. rate = 64.75% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 9: Espilon = 66571.4891, ESS = 628 Acc. rate = 60.67% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 10: Espilon = 65199.8479, ESS = 596 Acc. rate = 59.56% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 11: Espilon = 64007.5716, ESS = 566 Acc. rate = 60.95% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 12: Espilon = 63092.5801, ESS = 537 Acc. rate = 59.03% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 13: Espilon = 62186.1874, ESS = 510 Acc. rate = 59.22% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Resampling... 484 unique particles left
Iteration 14: Espilon = 61478.6819, ESS = 1000 Acc. rate = 53.10% Uniqueness rate particules = 87.5% Uniqueness rate components = 87.5% Global parameters uniqueness rate = 87.5%

Iteration 15: Espilon = 60977.8548, ESS = 950 Acc. rate = 55.58% Uniqueness rate particules = 96.2% Uniqueness rate components = 96.2% Global parameters uniqueness rate = 96.2%

Iteration 16: Espilon = 60401.9186, ESS = 902 Acc. rate = 54.21% Uniqueness rate particules = 97.7% Uniqueness rate components = 97.7% Global parameters uniqueness rate = 97.7%

Iteration 17: Espilon = 59839.7966, ESS = 856 Acc. rate = 53.74% Uniqueness rate particules = 98.0% Uniqueness rate components = 98.0% Global parameters uniqueness rate = 98.0%

Iteration 18: Espilon = 59177.4887, ESS = 813 Acc. rate = 52.77% Uniqueness rate particules = 98.1% Uniqueness rate components = 98.1% Global parameters uniqueness rate = 98.1%

Iteration 19: Espilon = 58229.5877, ESS = 772 Acc. rate = 56.87% Uniqueness rate particules = 98.1% Uniqueness rate components = 98.1% Global parameters uniqueness rate = 98.1%

Iteration 20: Espilon = 57295.5275, ESS = 733 Acc. rate = 54.71% Uniqueness rate particules = 98.1% Uniqueness rate components = 98.1% Global parameters uniqueness rate = 98.1%

Iteration 21: Espilon = 56408.4669, ESS = 696 Acc. rate = 52.59% Uniqueness rate particules = 98.2% Uniqueness rate components = 98.2% Global parameters uniqueness rate = 98.2%

Iteration 22: Espilon = 55527.8457, ESS = 661 Acc. rate = 53.40% Uniqueness rate particules = 98.2% Uniqueness rate components = 98.2% Global parameters uniqueness rate = 98.2%

