Host : clust2
Date : Fri Apr 18 12:19:09 CEST 2025
Cœurs CPU alloués : 1
Importation done
Importing data...
From 2020-03-24T00:00:00.000000000 to 2020-07-21T00:00:00.000000000
Data importation done!
Iteration 0: Epsilon = inf, ESS = 1000 Acc. rate = 100% Numb. unique particles = 1000
Iteration 1: Espilon = 122952.5768, ESS = 950 Acc. rate = 84.00% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 2: Espilon = 96553.0132, ESS = 902 Acc. rate = 79.60% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 3: Espilon = 85434.2782, ESS = 856 Acc. rate = 74.53% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 4: Espilon = 78284.2521, ESS = 813 Acc. rate = 73.43% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 5: Espilon = 74006.6258, ESS = 772 Acc. rate = 71.63% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 6: Espilon = 70935.3801, ESS = 733 Acc. rate = 69.85% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 7: Espilon = 68675.7947, ESS = 696 Acc. rate = 64.80% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 8: Espilon = 67271.2890, ESS = 661 Acc. rate = 67.62% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 9: Espilon = 65580.9393, ESS = 628 Acc. rate = 63.06% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 10: Espilon = 64428.2069, ESS = 596 Acc. rate = 60.07% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 11: Espilon = 63745.3030, ESS = 566 Acc. rate = 63.43% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 12: Espilon = 62694.6006, ESS = 537 Acc. rate = 56.24% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 13: Espilon = 61861.4035, ESS = 510 Acc. rate = 56.27% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Resampling... 484 unique particles left
Iteration 14: Espilon = 61385.8296, ESS = 1000 Acc. rate = 56.30% Uniqueness rate particules = 88.4% Uniqueness rate components = 88.4% Global parameters uniqueness rate = 88.4%

Iteration 15: Espilon = 60944.0919, ESS = 951 Acc. rate = 53.00% Uniqueness rate particules = 96.3% Uniqueness rate components = 96.3% Global parameters uniqueness rate = 96.3%

Iteration 16: Espilon = 60457.0007, ESS = 903 Acc. rate = 51.50% Uniqueness rate particules = 97.8% Uniqueness rate components = 97.8% Global parameters uniqueness rate = 97.8%

Iteration 17: Espilon = 59827.7991, ESS = 857 Acc. rate = 55.66% Uniqueness rate particules = 98.3% Uniqueness rate components = 98.3% Global parameters uniqueness rate = 98.3%

Iteration 18: Espilon = 59037.9690, ESS = 814 Acc. rate = 60.32% Uniqueness rate particules = 98.3% Uniqueness rate components = 98.3% Global parameters uniqueness rate = 98.3%

Iteration 19: Espilon = 57975.7402, ESS = 773 Acc. rate = 54.33% Uniqueness rate particules = 98.4% Uniqueness rate components = 98.4% Global parameters uniqueness rate = 98.4%

Iteration 20: Espilon = 56661.3666, ESS = 734 Acc. rate = 56.27% Uniqueness rate particules = 98.4% Uniqueness rate components = 98.4% Global parameters uniqueness rate = 98.4%

Iteration 21: Espilon = 55518.1543, ESS = 697 Acc. rate = 53.08% Uniqueness rate particules = 98.4% Uniqueness rate components = 98.4% Global parameters uniqueness rate = 98.4%

Iteration 22: Espilon = 54624.5766, ESS = 662 Acc. rate = 56.04% Uniqueness rate particules = 98.4% Uniqueness rate components = 98.4% Global parameters uniqueness rate = 98.4%

Iteration 23: Espilon = 53523.5093, ESS = 628 Acc. rate = 55.89% Uniqueness rate particules = 98.4% Uniqueness rate components = 98.4% Global parameters uniqueness rate = 98.4%

Iteration 24: Espilon = 52492.1911, ESS = 596 Acc. rate = 51.51% Uniqueness rate particules = 98.4% Uniqueness rate components = 98.4% Global parameters uniqueness rate = 98.4%

Iteration 25: Espilon = 51036.5348, ESS = 566 Acc. rate = 58.13% Uniqueness rate particules = 98.4% Uniqueness rate components = 98.4% Global parameters uniqueness rate = 98.4%

Iteration 26: Espilon = 49493.1309, ESS = 537 Acc. rate = 52.33% Uniqueness rate particules = 98.4% Uniqueness rate components = 98.4% Global parameters uniqueness rate = 98.4%

Iteration 27: Espilon = 48266.9383, ESS = 510 Acc. rate = 52.55% Uniqueness rate particules = 98.4% Uniqueness rate components = 98.4% Global parameters uniqueness rate = 98.4%

Resampling... 484 unique particles left
Iteration 28: Espilon = 46511.9657, ESS = 1000 Acc. rate = 52.00% Uniqueness rate particules = 87.4% Uniqueness rate components = 87.4% Global parameters uniqueness rate = 87.4%

Iteration 29: Espilon = 43953.4068, ESS = 950 Acc. rate = 50.11% Uniqueness rate particules = 95.4% Uniqueness rate components = 95.4% Global parameters uniqueness rate = 95.4%

