Host : clust2
Date : Fri Apr 18 18:14:49 CEST 2025
Cœurs CPU alloués : 1
Importation done
Importing data...
From 2020-03-24T00:00:00.000000000 to 2020-07-21T00:00:00.000000000
Data importation done!
Iteration 0: Epsilon = inf, ESS = 1000 Acc. rate = 100% Numb. unique particles = 1000
Iteration 1: Espilon = 135108.3944, ESS = 950 Acc. rate = 82.21% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 2: Espilon = 97798.2671, ESS = 902 Acc. rate = 79.49% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 3: Espilon = 85511.3022, ESS = 856 Acc. rate = 75.23% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 4: Espilon = 79301.4092, ESS = 813 Acc. rate = 76.01% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 5: Espilon = 74265.1367, ESS = 772 Acc. rate = 72.54% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 6: Espilon = 71140.1382, ESS = 733 Acc. rate = 68.08% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 7: Espilon = 68751.3465, ESS = 696 Acc. rate = 67.39% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 8: Espilon = 67417.4599, ESS = 661 Acc. rate = 66.87% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 9: Espilon = 66110.3267, ESS = 628 Acc. rate = 66.88% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 10: Espilon = 64869.0624, ESS = 596 Acc. rate = 62.75% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 11: Espilon = 63891.5906, ESS = 566 Acc. rate = 62.01% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 12: Espilon = 63170.8204, ESS = 537 Acc. rate = 57.54% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 13: Espilon = 62633.1867, ESS = 510 Acc. rate = 60.98% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Resampling... 484 unique particles left
Iteration 14: Espilon = 61914.6294, ESS = 1000 Acc. rate = 60.50% Uniqueness rate particules = 91.0% Uniqueness rate components = 91.0% Global parameters uniqueness rate = 91.0%

Iteration 15: Espilon = 61238.7238, ESS = 950 Acc. rate = 55.05% Uniqueness rate particules = 96.5% Uniqueness rate components = 96.5% Global parameters uniqueness rate = 96.5%

Iteration 16: Espilon = 60733.9181, ESS = 902 Acc. rate = 56.98% Uniqueness rate particules = 97.3% Uniqueness rate components = 97.3% Global parameters uniqueness rate = 97.3%

Iteration 17: Espilon = 60220.7235, ESS = 856 Acc. rate = 54.56% Uniqueness rate particules = 97.7% Uniqueness rate components = 97.7% Global parameters uniqueness rate = 97.7%

Iteration 18: Espilon = 59605.2833, ESS = 813 Acc. rate = 54.37% Uniqueness rate particules = 97.7% Uniqueness rate components = 97.7% Global parameters uniqueness rate = 97.7%

Iteration 19: Espilon = 58814.5236, ESS = 772 Acc. rate = 53.89% Uniqueness rate particules = 97.8% Uniqueness rate components = 97.8% Global parameters uniqueness rate = 97.8%

Iteration 20: Espilon = 57886.5859, ESS = 733 Acc. rate = 51.30% Uniqueness rate particules = 97.8% Uniqueness rate components = 97.8% Global parameters uniqueness rate = 97.8%

Iteration 21: Espilon = 57132.9126, ESS = 696 Acc. rate = 54.31% Uniqueness rate particules = 97.8% Uniqueness rate components = 97.8% Global parameters uniqueness rate = 97.8%

Iteration 22: Espilon = 56174.9279, ESS = 661 Acc. rate = 54.16% Uniqueness rate particules = 97.8% Uniqueness rate components = 97.8% Global parameters uniqueness rate = 97.8%

Iteration 23: Espilon = 55312.4282, ESS = 628 Acc. rate = 51.43% Uniqueness rate particules = 97.8% Uniqueness rate components = 97.8% Global parameters uniqueness rate = 97.8%

Iteration 24: Espilon = 54575.6514, ESS = 596 Acc. rate = 55.20% Uniqueness rate particules = 97.8% Uniqueness rate components = 97.8% Global parameters uniqueness rate = 97.8%

Iteration 25: Espilon = 53315.6630, ESS = 566 Acc. rate = 54.95% Uniqueness rate particules = 97.8% Uniqueness rate components = 97.8% Global parameters uniqueness rate = 97.8%

Iteration 26: Espilon = 51811.8212, ESS = 537 Acc. rate = 48.98% Uniqueness rate particules = 97.8% Uniqueness rate components = 97.8% Global parameters uniqueness rate = 97.8%

Iteration 27: Espilon = 50568.5830, ESS = 510 Acc. rate = 52.16% Uniqueness rate particules = 97.8% Uniqueness rate components = 97.8% Global parameters uniqueness rate = 97.8%

Resampling... 483 unique particles left
Iteration 28: Espilon = 48972.5789, ESS = 1000 Acc. rate = 48.80% Uniqueness rate particules = 85.1% Uniqueness rate components = 85.1% Global parameters uniqueness rate = 85.1%

Iteration 29: Espilon = 47515.5460, ESS = 950 Acc. rate = 50.11% Uniqueness rate particules = 93.6% Uniqueness rate components = 93.6% Global parameters uniqueness rate = 93.6%

Iteration 30: Espilon = 45687.6048, ESS = 903 Acc. rate = 46.84% Uniqueness rate particules = 96.4% Uniqueness rate components = 96.4% Global parameters uniqueness rate = 96.4%

Iteration 31: Espilon = 43770.6368, ESS = 857 Acc. rate = 50.41% Uniqueness rate particules = 97.1% Uniqueness rate components = 97.1% Global parameters uniqueness rate = 97.1%

Iteration 32: Espilon = 42294.3098, ESS = 814 Acc. rate = 52.70% Uniqueness rate particules = 97.4% Uniqueness rate components = 97.4% Global parameters uniqueness rate = 97.4%

Iteration 33: Espilon = 40644.9536, ESS = 773 Acc. rate = 53.17% Uniqueness rate particules = 97.5% Uniqueness rate components = 97.5% Global parameters uniqueness rate = 97.5%

Iteration 34: Espilon = 39128.6055, ESS = 734 Acc. rate = 53.00% Uniqueness rate particules = 97.5% Uniqueness rate components = 97.5% Global parameters uniqueness rate = 97.5%

Iteration 35: Espilon = 37469.0883, ESS = 697 Acc. rate = 48.35% Uniqueness rate particules = 97.5% Uniqueness rate components = 97.5% Global parameters uniqueness rate = 97.5%

Iteration 36: Espilon = 35082.5958, ESS = 662 Acc. rate = 47.89% Uniqueness rate particules = 97.6% Uniqueness rate components = 97.6% Global parameters uniqueness rate = 97.6%

Iteration 37: Espilon = 33302.4078, ESS = 628 Acc. rate = 49.68% Uniqueness rate particules = 97.6% Uniqueness rate components = 97.6% Global parameters uniqueness rate = 97.6%

Iteration 38: Espilon = 31483.6385, ESS = 596 Acc. rate = 44.63% Uniqueness rate particules = 97.6% Uniqueness rate components = 97.6% Global parameters uniqueness rate = 97.6%

Iteration 39: Espilon = 29202.4857, ESS = 566 Acc. rate = 44.17% Uniqueness rate particules = 97.6% Uniqueness rate components = 97.6% Global parameters uniqueness rate = 97.6%

Iteration 40: Espilon = 27723.2214, ESS = 537 Acc. rate = 47.11% Uniqueness rate particules = 97.6% Uniqueness rate components = 97.6% Global parameters uniqueness rate = 97.6%

Iteration 41: Espilon = 25320.7571, ESS = 510 Acc. rate = 43.53% Uniqueness rate particules = 97.7% Uniqueness rate components = 97.7% Global parameters uniqueness rate = 97.7%

Resampling... 480 unique particles left
Iteration 42: Espilon = 23659.4993, ESS = 1000 Acc. rate = 44.90% Uniqueness rate particules = 82.5% Uniqueness rate components = 82.5% Global parameters uniqueness rate = 82.5%

Iteration 43: Espilon = 21733.9270, ESS = 950 Acc. rate = 43.58% Uniqueness rate particules = 92.1% Uniqueness rate components = 92.1% Global parameters uniqueness rate = 92.1%

Iteration 44: Espilon = 19823.9080, ESS = 902 Acc. rate = 42.24% Uniqueness rate particules = 94.7% Uniqueness rate components = 94.7% Global parameters uniqueness rate = 94.7%

Iteration 45: Espilon = 18019.9337, ESS = 856 Acc. rate = 39.25% Uniqueness rate particules = 95.7% Uniqueness rate components = 95.7% Global parameters uniqueness rate = 95.7%

Iteration 46: Espilon = 16514.3292, ESS = 813 Acc. rate = 40.22% Uniqueness rate particules = 96.3% Uniqueness rate components = 96.3% Global parameters uniqueness rate = 96.3%

Iteration 47: Espilon = 14774.0227, ESS = 772 Acc. rate = 41.19% Uniqueness rate particules = 96.8% Uniqueness rate components = 96.8% Global parameters uniqueness rate = 96.8%

Iteration 48: Espilon = 13011.1444, ESS = 733 Acc. rate = 39.97% Uniqueness rate particules = 97.1% Uniqueness rate components = 97.1% Global parameters uniqueness rate = 97.1%

Iteration 49: Espilon = 11723.0999, ESS = 696 Acc. rate = 39.22% Uniqueness rate particules = 97.1% Uniqueness rate components = 97.1% Global parameters uniqueness rate = 97.1%

Iteration 50: Espilon = 10511.8581, ESS = 661 Acc. rate = 39.94% Uniqueness rate particules = 97.2% Uniqueness rate components = 97.2% Global parameters uniqueness rate = 97.2%

Iteration 51: Espilon = 9205.0855, ESS = 628 Acc. rate = 35.03% Uniqueness rate particules = 97.2% Uniqueness rate components = 97.2% Global parameters uniqueness rate = 97.2%

Iteration 52: Espilon = 8122.3332, ESS = 596 Acc. rate = 40.10% Uniqueness rate particules = 97.3% Uniqueness rate components = 97.3% Global parameters uniqueness rate = 97.3%

Iteration 53: Espilon = 7264.0043, ESS = 566 Acc. rate = 37.99% Uniqueness rate particules = 97.3% Uniqueness rate components = 97.3% Global parameters uniqueness rate = 97.3%

