method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,kl_mu_avg,w2_sigma2,w2_mu_avg,sw2_joint,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.025825747251510617,1000000.0,25.82574725151062,10.037015151540105,23.922802459082757,62989.78053192902,27.631021114570267,7.806686711307215,9.997969307049365,14.220966993847844,15.328083912382203,50,4,False,42
ABC-Vanilla,2154.4346900318833,0.055639885774650046,464158.8833612779,11.987250006231761,7.0363489867986395,23.926407395018956,64865.38078255544,27.631021114591743,8.004873397709666,10.027552887935016,14.198565927561186,15.262212494340853,50,4,False,42
ABC-Vanilla,4641.588833612778,0.11987250006231759,215443.4690031884,5.563988577465006,6.642195733390129,23.910533826143805,64724.828569536665,27.631021114549927,7.829048433839414,10.020895220881384,14.20973266844147,15.319178934527356,50,4,False,42
ABC-Vanilla,10000.0,0.25825747251510617,100000.0,2.582574725151062,6.367592770736104,23.97373067837089,64645.80909888644,27.631021114597303,7.820269105014131,10.038491139365776,14.26736678376673,15.352913981085544,50,4,False,42
ABC-Vanilla,21544.346900318837,0.5563988577465006,46415.88833612779,1.1987250006231762,6.145742230486441,23.967921417364103,64288.89374190424,27.63102111463813,7.909911624728169,10.034769995956141,14.263288665065902,15.2975998495324,50,4,False,42
ABC-Vanilla,46415.88833612777,1.1987250006231756,21544.346900318847,0.5563988577465008,5.957086991112885,23.95606136286114,63805.70925252679,27.631021114616235,8.030199974059279,10.020991752870776,14.206244306093069,15.260379156453048,50,4,False,42
ABC-Vanilla,100000.0,2.582574725151062,10000.0,0.2582574725151062,5.793651375754166,23.93781642821299,64116.075270165486,27.63102111455319,8.023617633453988,10.012823083777537,14.267525633978252,15.320731711402532,50,4,False,42
ABC-Vanilla,215443.4690031882,5.563988577465,4641.588833612783,0.1198725000623177,5.642070209641315,23.963626183794673,63898.43979697926,27.631021114553842,7.917659889790643,10.019070711773784,14.256209296631395,15.333965363541562,50,4,False,42
ABC-Vanilla,464158.8833612778,11.987250006231758,2154.434690031884,0.05563988577465007,5.500169412138343,23.952818802113274,65275.20930430656,27.631021114553317,8.062121568319613,10.045341180787275,14.26026593681434,15.31995012949383,50,4,False,42
ABC-Vanilla,1000000.0,25.82574725151062,1000.0,0.02582574725151062,5.3689105923680875,23.969701087231023,64333.77783225217,27.631021114535194,7.968146323145297,10.025908462478888,14.25932552255475,15.297020829015171,50,4,False,42
permABC-Vanilla,1000.0,0.05880359196662903,1000000.0,58.80359196662903,3.813915833474542,23.936224517828762,4489.790355843964,27.631021114492885,3.909175810945822,10.021702384196134,2.7237384751706837,3.390760017916318,50,4,False,42
permABC-Vanilla,2154.4346900318833,0.12668849843138574,464158.8833612779,27.29420958486274,1.6128341418828849,23.96633235893455,3205.419223797174,27.631021114596876,2.728958738135983,10.013071951434128,2.05103849350193,2.7233469680689937,50,4,False,42
permABC-Vanilla,4641.588833612778,0.2729420958486274,215443.4690031884,12.66884984313858,1.37111677108781,24.00463167583851,2733.0925591740734,27.63102111457917,2.019336049142147,10.080527738004635,1.7074819890804718,2.403895451418229,50,4,False,42
permABC-Vanilla,10000.0,0.5880359196662903,100000.0,5.880359196662903,1.2102790620175994,24.010239987895723,2339.6676473117636,27.631021114702957,1.4955960915018585,10.068503670250598,1.4317241247465042,2.1606599304777157,50,4,False,42
permABC-Vanilla,21544.346900318837,1.2668849843138577,46415.88833612779,2.7294209584862745,1.0895156903438885,24.00750432309374,2108.640460247223,27.63102111464117,1.1384712110621427,10.081008704936169,1.2375188601735347,1.993439258002844,50,4,False,42
permABC-Vanilla,46415.88833612777,2.7294209584862728,21544.346900318847,1.2668849843138583,0.9929308768782569,24.019637684027934,1923.644635328114,27.63102111470322,0.8860961896948241,10.096803827967925,1.0716286796096588,1.8697906242852358,50,4,False,42
permABC-Vanilla,100000.0,5.880359196662903,10000.0,0.5880359196662903,0.9122112330537553,24.04353860494884,1786.9832630908622,27.63102111472605,0.7028401799222747,10.114624981788545,0.9526466762096583,1.7697334230170325,50,4,False,42
permABC-Vanilla,215443.4690031882,12.668849843138567,4641.588833612783,0.2729420958486276,0.8474179990287469,24.04360680437761,1675.9443049459023,27.631021114704957,0.5582002898825575,10.120666718394846,0.8401396022004173,1.7022654605585656,50,4,False,42
permABC-Vanilla,464158.8833612778,27.294209584862735,2154.434690031884,0.1266884984313858,0.7902849160890997,24.095499326429596,1568.344736249598,27.63102111475223,0.45126215152702953,10.12601885731,0.7529603550279345,1.640652370359588,50,4,False,42
permABC-Vanilla,1000000.0,58.80359196662903,1000.0,0.05880359196662903,0.743094478510781,24.095851634514048,1505.487909030242,27.631021114772654,0.37079812769185344,10.156164581165575,0.6887489350481495,1.5974655823291655,50,4,False,42
