method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,kl_mu_avg,w2_sigma2,w2_mu_avg,sw2_joint,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.026113609075546263,1000000.0,26.113609075546265,9.214577945587855,23.93475299835028,54485.74098326487,27.6310211146347,7.679371831889277,10.016229623263838,13.182300695116657,13.747651719856766,50,0,False,42
ABC-Vanilla,2154.4346900318833,0.05626006527428829,464158.8833612779,12.120863629038487,6.4973251118818975,23.981129082900633,54931.895569728236,27.631021114659372,7.596520406295504,10.043859872902992,13.189332386762805,13.834505957494063,50,0,False,42
ABC-Vanilla,4641.588833612778,0.12120863629038484,215443.4690031884,5.626006527428831,6.113309548957772,23.91273545727231,54684.466730362845,27.631021114529016,7.604679833508026,9.99594259911629,13.213423078691068,13.80730807790943,50,0,False,42
ABC-Vanilla,10000.0,0.2611360907554626,100000.0,2.6113609075546265,5.844569944398603,23.965860087931972,53570.5630576798,27.631021114555733,7.650363801667193,10.000241873353009,13.195615997306392,13.788816762229741,50,0,False,42
ABC-Vanilla,21544.346900318837,0.562600652742883,46415.88833612779,1.2120863629038487,5.628250686462643,23.937284959753228,56360.82394987465,27.631021114595804,7.732066330414365,10.040729418768324,13.269632088385896,13.867672769087072,50,0,False,42
ABC-Vanilla,46415.88833612777,1.212086362903848,21544.346900318847,0.5626006527428833,5.4432762368268754,23.959690849958875,55536.68535851187,27.631021114615837,7.689121494278368,10.040756842339599,13.248099699436976,13.838608402184361,50,0,False,42
ABC-Vanilla,100000.0,2.6113609075546265,10000.0,0.2611360907554626,5.280876923204401,23.930692190959668,54955.163294464655,27.631021114551203,7.6871319063888315,10.010544650529804,13.234172246328384,13.870162357159863,50,0,False,42
ABC-Vanilla,215443.4690031882,5.626006527428825,4641.588833612783,0.12120863629038496,5.138708095853319,23.979043601521894,55167.36201957401,27.631021114657806,7.7157808285713365,10.050655526847647,13.181357312377934,13.791261085464784,50,0,False,42
ABC-Vanilla,464158.8833612778,12.120863629038483,2154.434690031884,0.05626006527428832,5.009009806419487,23.942509772958026,55706.54811184035,27.631021114593437,7.789062585064336,10.035380130736458,13.250658808528911,13.841012058314883,50,0,False,42
ABC-Vanilla,1000000.0,26.113609075546265,1000.0,0.026113609075546267,4.884495258702176,23.957666054833492,54581.50587887381,27.631021114554425,7.780252704570639,10.02777876820117,13.18814755028563,13.805501081982602,50,0,False,42
permABC-Vanilla,1000.0,0.05330551266670227,1000000.0,53.30551266670227,3.355205203238576,23.96207468004119,2856.4380716704463,27.63102111455527,1.9371571843929931,10.040036223450226,1.7941736621824156,2.3559776700337145,50,0,False,42
permABC-Vanilla,2154.4346900318833,0.11484324565907733,464158.8833612779,24.742227236376984,1.1607282709640283,23.95944390575709,2056.59328044844,27.631021114595114,1.0086997615083988,10.034241600436058,1.2003961811042776,1.8666478512865228,50,0,False,42
permABC-Vanilla,4641.588833612778,0.24742227236376976,215443.4690031884,11.484324565907738,0.9674187887333349,24.039998844612697,1771.0313682819592,27.63102111472745,0.675597060104587,10.092218272475648,0.9398865849219894,1.6723772134672343,50,0,False,42
permABC-Vanilla,10000.0,0.5330551266670227,100000.0,5.330551266670227,0.8520465324995427,24.029259271714714,1613.5349031927117,27.631021114745323,0.5037014350290414,10.106262122225784,0.8156013567651688,1.596267979604101,50,0,False,42
permABC-Vanilla,21544.346900318837,1.1484324565907735,46415.88833612779,2.4742227236376984,0.7711979789218818,24.056462570288762,1497.2769386533623,27.631021114748346,0.383259191361956,10.121177873219944,0.6975421351215876,1.5281772715690793,50,0,False,42
permABC-Vanilla,46415.88833612777,2.474222723637697,21544.346900318847,1.148432456590774,0.7107949441002095,24.08833648437672,1423.324056525926,27.631021114791636,0.3212490577480822,10.1369587530345,0.6469764432197657,1.4998013840766982,50,0,False,42
permABC-Vanilla,100000.0,5.330551266670227,10000.0,0.5330551266670227,0.6630543500271777,24.182410599132574,1358.0998386813874,27.631021114883406,0.25908256551311737,10.178869733775432,0.5901972323968779,1.4760661129169839,50,0,False,42
permABC-Vanilla,215443.4690031882,11.484324565907725,4641.588833612783,0.24742227236376999,0.6235131751084952,24.185269314276514,1316.6103260800555,27.631021114842316,0.22660866827639192,10.2098275583677,0.5556751221908414,1.4646628705423144,50,0,False,42
