method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,kl_mu_avg,w2_sigma2,w2_mu_avg,sw2_joint,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.016004553556442258,1000000.0,16.00455355644226,14.083844909635744,23.909828871442457,39847.08296966924,27.631021114508506,8.098879038106526,10.002998984043174,14.391874125400657,15.847982968532264,30,4,False,42
ABC-Vanilla,2154.4346900318833,0.03448076538047235,464158.8833612779,7.428655707454009,9.196508873563987,23.97457360448495,40078.25571762846,27.631021114639015,7.9620247412826,10.049236845465407,14.369836612656606,15.80735295628003,30,4,False,42
ABC-Vanilla,4641.588833612778,0.07428655707454007,215443.4690031884,3.448076538047237,8.53910674587889,23.92846296910278,39966.05054985348,27.631021114552357,8.126275970677684,10.024150705323501,14.390520638952928,15.744160487048639,30,4,False,42
ABC-Vanilla,10000.0,0.16004553556442258,100000.0,1.6004553556442263,8.07645052343074,23.969592916349995,39510.507497208935,27.63102111455644,8.001597593385643,10.012889519742346,14.411055525691,15.868476115234294,30,4,False,42
ABC-Vanilla,21544.346900318837,0.3448076538047236,46415.88833612779,0.7428655707454009,7.707923763423736,23.94498556141089,38691.39697675369,27.631021114572953,8.096528069498369,9.996044061983863,14.314503327446513,15.72781585278317,30,4,False,42
ABC-Vanilla,46415.88833612777,0.7428655707454005,21544.346900318847,0.3448076538047238,7.392391168323487,23.920785404010775,39124.50682699584,27.63102111455125,7.995931137985413,9.982438148654351,14.459267343660201,15.87683995551708,30,4,False,42
ABC-Vanilla,100000.0,1.600455355644226,10000.0,0.1600455355644226,7.114793258510573,23.91081552331121,39603.13223070568,27.63102111455196,7.977633254741013,9.993506744239006,14.407250398806996,15.817440312342988,30,4,False,42
ABC-Vanilla,215443.4690031882,3.4480765380472334,4641.588833612783,0.07428655707454014,6.863101751644233,23.9072704915768,39066.96032194975,27.631021114508385,7.96527396127886,9.987118251784947,14.351518595091942,15.729230238628686,30,4,False,42
ABC-Vanilla,464158.8833612778,7.4286557074540065,2154.434690031884,0.03448076538047237,6.631306583194907,23.91349250064129,39351.7039085392,27.63102111454881,7.9735351587209315,10.001555637854773,14.43093287815077,15.83719719273137,30,4,False,42
ABC-Vanilla,1000000.0,16.00455355644226,1000.0,0.01600455355644226,6.426619200303389,23.94496242020263,39805.31388789919,27.63102111459396,8.026021972315053,10.016521616659347,14.466123539459579,15.84513086045166,30,4,False,42
permABC-Vanilla,1000.0,0.038801846027374264,1000000.0,38.80184602737427,6.91594824520358,23.882221592991492,4062.2382557670253,27.63102111456704,5.337896141109274,10.006427191467711,3.631200483467536,4.645780624324016,30,4,False,42
permABC-Vanilla,2154.4346900318833,0.08359604311865095,464158.8833612779,18.010221524422278,2.5821601419704034,23.951117316287252,2614.58600930832,27.631021114615155,3.7495267110280026,10.040500399974228,2.5833870410388307,3.5677278327880333,30,4,False,42
permABC-Vanilla,4641.588833612778,0.18010221524422274,215443.4690031884,8.359604311865096,2.136849743811063,23.955474345033917,2068.254022869566,27.631021114574043,2.776421186928633,10.038036967478316,2.072543973948238,3.0302888143316173,30,4,False,42
permABC-Vanilla,10000.0,0.38801846027374265,100000.0,3.880184602737427,1.853785931812699,23.968921193849845,1767.7652137829862,27.631021114677935,2.070054430161711,10.082964880561494,1.7245460979542757,2.676377115778053,30,4,False,42
permABC-Vanilla,21544.346900318837,0.8359604311865095,46415.88833612779,1.8010221524422279,1.648316663127584,23.968434970712213,1528.6123305172632,27.631021114617383,1.6434940952105699,10.05179478493963,1.4944219191599188,2.4441049977274507,30,4,False,42
permABC-Vanilla,46415.88833612777,1.8010221524422267,21544.346900318847,0.83596043118651,1.488262692522073,23.999421118467165,1364.9901457452343,27.63102111464109,1.2562326432077895,10.083798767235448,1.2764155969080322,2.26770959484898,30,4,False,42
permABC-Vanilla,100000.0,3.8801846027374265,10000.0,0.3880184602737427,1.3610606342296847,24.00489868127177,1244.686842353092,27.631021114662126,1.0089582607309593,10.08371374052427,1.1350880842651732,2.1364602925006286,30,4,False,42
permABC-Vanilla,215443.4690031882,8.35960431186509,4641.588833612783,0.1801022152442229,1.2595428487029376,24.025259903225994,1153.304944562065,27.63102111466384,0.8153091968992403,10.09732070343416,1.0165577121146752,2.0393548602609695,30,4,False,42
permABC-Vanilla,464158.8833612778,18.010221524422274,2154.434690031884,0.08359604311865099,1.1734858121574885,24.101053085925273,1079.0836550318509,27.631021114770018,0.6691019952501964,10.127221691515956,0.9169314553815153,1.9684741875195442,30,4,False,42
permABC-Vanilla,1000000.0,38.80184602737427,1000.0,0.03880184602737427,1.101578434752532,24.084252467371442,1019.4346448350756,27.631021114689243,0.5484264346717914,10.132139864464113,0.8287896963081327,1.9092205371178117,30,4,False,42
ABC-SMC,950.0,0.024090250333150227,28500.0,0.7227075099945068,10.836279837611542,23.93412012228398,39946.94001713638,27.631021114570622,8.206511100185887,10.031577133735151,14.228512667922779,15.644069938184684,30,4,False,42
