method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,kl_mu_avg,w2_sigma2,w2_mu_avg,sw2_joint,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.015707361459732058,1000000.0,15.707361459732056,13.064020637032066,23.936116248974685,31781.76346747057,6.90775527766878,7.487840374626149,10.009298365045048,12.93940125163325,13.792417896671212,30,1,False,42
ABC-Vanilla,2154.4346900318833,0.03384048441771658,464158.8833612779,7.2907113557012035,8.240217481273143,23.966376963991713,32340.049983935904,27.631021114554557,7.645508066872462,10.037179780569687,12.956918878576106,13.80505764391609,30,1,False,42
ABC-Vanilla,4641.588833612778,0.07290711355701202,215443.4690031884,3.384048441771659,7.604016142820824,23.923389601736623,31743.03782450808,27.63102111456998,7.747257202749167,9.996216652049698,12.9060360299632,13.743490772340634,30,1,False,42
ABC-Vanilla,10000.0,0.15707361459732055,100000.0,1.5707361459732057,7.156073692120948,23.948295679958164,31701.99214883824,27.631021114594567,7.7099865188622125,10.010826287721725,12.957694655493611,13.811932604113368,30,1,False,42
ABC-Vanilla,21544.346900318837,0.3384048441771659,46415.88833612779,0.7290711355701204,6.800375414566954,23.859933462370805,31339.90375091989,6.907755277519608,7.786534712202597,9.9542208086149,12.968587969044622,13.854300176240079,30,1,False,42
ABC-Vanilla,46415.88833612777,0.72907113557012,21544.346900318847,0.33840484417716604,6.501012699117709,23.990141170347556,31037.500558848034,27.63102111462032,7.588928112215729,10.009998288950817,12.884251495262339,13.786153836963967,30,1,False,42
ABC-Vanilla,100000.0,1.5707361459732057,10000.0,0.15707361459732055,6.233146586021518,23.92173615894894,32123.210723308723,27.631021114550908,7.74659127968771,9.995221320537569,12.989505476214676,13.882290571211595,30,1,False,42
ABC-Vanilla,215443.4690031882,3.384048441771656,4641.588833612783,0.07290711355701208,5.9943191251483965,23.95870884433471,32648.276969770628,27.63102111451392,7.613832560352474,10.032272308411564,12.973898599401869,13.85253662003839,30,1,False,42
ABC-Vanilla,464158.8833612778,7.290711355701202,2154.434690031884,0.033840484417716594,5.772825055586897,23.951254993507792,31970.852603779836,27.631021114555228,7.666480760591963,10.018407125976166,12.927104096133197,13.779950083003735,30,1,False,42
ABC-Vanilla,1000000.0,15.707361459732056,1000.0,0.015707361459732058,5.568738947062788,23.948489926565088,32159.366455499923,27.63102111457342,7.549436016301357,10.033299185348154,12.901949396856926,13.723771250335098,30,1,False,42
permABC-Vanilla,1000.0,0.038389860153198244,1000000.0,38.38986015319824,6.856075296178855,23.954926783696852,2475.570845903089,27.631021114614803,3.4587992071327416,10.034180383502376,2.6772646142681804,3.2753110960372473,30,1,False,42
permABC-Vanilla,2154.4346900318833,0.08270844645952301,464158.8833612779,17.818994621104114,1.83618857493622,24.000094291709523,1532.2904837524884,27.631021114680188,1.579495886140971,10.065257638236487,1.5310996033103825,2.3380812698719615,30,1,False,42
permABC-Vanilla,4641.588833612778,0.1781899462110411,215443.4690031884,8.270844645952304,1.4862234485995194,24.00245254496476,1253.72428402607,27.631021114721943,1.0684569648935565,10.057158036681919,1.1964814543108804,2.079083168678411,30,1,False,42
permABC-Vanilla,10000.0,0.3838986015319824,100000.0,3.8389860153198243,1.2975485754387504,24.033770633099323,1132.5220565243476,27.63102111468392,0.8047360366169413,10.10321090925592,1.0222448860572846,1.9600659367958146,30,1,False,42
permABC-Vanilla,21544.346900318837,0.8270844645952301,46415.88833612779,1.7818994621104114,1.1713992717717605,24.04223481981402,1041.478379510309,27.63102111472772,0.6308331877555495,10.124581093336184,0.8967115611401262,1.879747941948387,30,1,False,42
