method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,kl_mu_avg,w2_sigma2,w2_mu_avg,sw2_joint,K,K_outliers,include_osum,seed,M0
ABC-Vanilla,1000.0,0.0056646027565002,1000000.0,5.664602756500244,32.85066626658122,23.96093341001852,16013.156629854118,27.631021114575784,8.102065736207912,10.04848632550306,15.541661311922834,16.18313405353053,10,3,True,42,
ABC-Vanilla,2154.434690031884,0.0122040166838543,464158.8833612779,2.62927569014237,17.072695043171098,23.939332633209563,15492.925671788766,27.63102111461432,8.114773414064993,10.009599848646456,15.480609580063932,16.064675477731225,10,3,True,42,
ABC-Vanilla,4641.588833612778,0.0262927569014236,215443.4690031884,1.220401668385436,15.059009235626704,23.95418017867526,15753.155645848055,27.63102111457414,7.920738494448625,10.014154977364784,15.638142395968384,16.302119297425843,10,3,True,42,
ABC-Vanilla,10000.0,0.0566460275650024,100000.0,0.5664602756500244,13.65958912857304,23.96286210776377,15930.413049384815,27.63102111455454,8.07701249927812,10.052407071275743,15.401053450983104,15.973517150670649,10,3,True,42,
ABC-Vanilla,21544.34690031884,0.1220401668385435,46415.88833612779,0.262927569014237,12.536253295792712,23.9526241542198,15646.273224740416,27.631021114533446,7.884401766079217,10.024664868791277,15.42747053087176,16.035003136616236,10,3,True,42,
ABC-Vanilla,46415.88833612777,0.2629275690142369,21544.346900318847,0.1220401668385436,11.599671430240694,23.908506076468846,15595.788243690986,6.907755277627673,8.316424965637234,10.013572291524683,15.498506710136605,16.02453170939211,10,3,True,42,
ABC-Vanilla,100000.0,0.5664602756500244,10000.0,0.0566460275650024,10.784432615506242,23.93941790513532,15781.895958138895,27.6310211146341,8.329972235937978,10.022834193545265,15.474367608998644,16.097576617424764,10,3,True,42,
ABC-Vanilla,215443.4690031882,1.2204016683854348,4641.588833612783,0.0262927569014237,10.05726542516257,23.95470547562836,15973.096293403392,27.63102111459508,8.417229167909905,10.035583209827868,15.514412230454298,16.1197813138275,10,3,True,42,
ABC-Vanilla,464158.8833612778,2.6292756901423697,2154.434690031884,0.0122040166838543,9.390161348307052,23.92794538446289,15884.157084897455,27.63102111457044,8.235655710658243,10.0100199945854,15.542260679262222,16.137039233649105,10,3,True,42,
ABC-Vanilla,1000000.0,5.664602756500244,1000.0,0.0056646027565002,8.764911233920339,23.9143324080338,15669.548357146938,27.63102111456906,8.32980229149218,9.989317485405229,15.594159048037872,16.14267903501487,10,3,True,42,
