method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,kl_mu_avg,w2_sigma2,w2_mu_avg,sw2_joint,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.01659320068359375,1000000.0,16.59320068359375,12.651289226834093,24.000282992557334,30980.63601206768,27.63102111466122,7.588403953614276,10.058202439747847,12.694832099870109,13.507481032297978,30,0,False,42
ABC-Vanilla,2154.4346900318833,0.03574896717139514,464158.8833612779,7.7018815006864685,8.028340245956288,23.956488174787797,30878.96477103121,27.631021114634095,7.540133382572416,10.033277030198581,12.72857526855474,13.497497543747997,30,0,False,42
ABC-Vanilla,4641.588833612778,0.07701881500686468,215443.4690031884,3.5748967171395147,7.39806608560161,23.974531324345474,30541.603523095037,27.63102111463833,7.620657907071748,10.009403381208339,12.852652210208586,13.613081827025072,30,0,False,42
ABC-Vanilla,10000.0,0.1659320068359375,100000.0,1.6593200683593752,6.95689554083342,23.971324715447402,29790.45871970045,27.63102111457627,7.748111721046138,10.017487927034152,12.618384449849893,13.422497721277345,30,0,False,42
ABC-Vanilla,21544.346900318837,0.35748967171395146,46415.88833612779,0.7701881500686469,6.604845760887841,23.956174617954865,30690.82019184078,27.631021114556432,7.531771937220032,10.028817961900398,12.739940478441138,13.508767303698416,30,0,False,42
ABC-Vanilla,46415.88833612777,0.7701881500686465,21544.346900318847,0.3574896717139516,6.305374270273272,23.99564904233592,30321.5798910222,27.631021114659074,7.634493656580208,10.036003891295433,12.685976337365856,13.465177168960585,30,0,False,42
ABC-Vanilla,100000.0,1.6593200683593752,10000.0,0.1659320068359375,6.0462148488894565,23.90824949635461,30505.647251852464,27.631021114508325,7.509579278613342,9.996611523381258,12.745389020909402,13.517656978832115,30,0,False,42
ABC-Vanilla,215443.4690031882,3.5748967171395116,4641.588833612783,0.07701881500686474,5.809818409555117,23.977582306812522,30991.14049266813,27.631021114617933,7.517919957082981,10.036852381097301,12.767039865274699,13.580120401072609,30,0,False,42
ABC-Vanilla,464158.8833612778,7.701881500686468,2154.434690031884,0.03574896717139515,5.593120558785918,23.920027264258383,30930.03184437051,27.63102111457172,7.4557451294513095,10.0233882574493,12.75316041239012,13.50880361343458,30,0,False,42
ABC-Vanilla,1000000.0,16.59320068359375,1000.0,0.01659320068359375,5.395559860609907,23.98662894240479,29738.584203566126,27.63102111461721,7.542375303837861,10.005895687127925,12.682639203234967,13.46979500383646,30,0,False,42
permABC-Vanilla,1000.0,0.03412150168418884,1000000.0,34.12150168418884,6.2082511446347945,23.95940128332377,2360.360111855515,27.631021114554034,3.1588410996408114,10.043030803619592,2.544664441615866,3.090646383339048,30,0,False,42
permABC-Vanilla,2154.4346900318833,0.07351254690439778,464158.8833612779,15.837798120343058,1.7575759762331284,23.942075631392477,1438.2331469659457,27.631021114613358,1.4068683583087929,10.0177249798104,1.4618830373745872,2.250896438191322,30,0,False,42
permABC-Vanilla,4641.588833612778,0.15837798120343052,215443.4690031884,7.351254690439779,1.4199170442180122,24.019176933576713,1189.3822841619638,27.631021114724184,0.9270598714560397,10.062935771620536,1.1247468408731414,2.0189902145126934,30,0,False,42
permABC-Vanilla,10000.0,0.34121501684188843,100000.0,3.4121501684188846,1.2348358211843127,24.049255171297617,1061.4479421855763,27.631021114788872,0.6817851959429628,10.100703810084651,0.9332452021984046,1.911753155544977,30,0,False,42
permABC-Vanilla,21544.346900318837,0.7351254690439778,46415.88833612779,1.5837798120343058,1.1105120194638436,24.032658436885438,984.1614657197943,27.631021114724867,0.5149962955824618,10.11632199954993,0.8082505465650913,1.843152512487343,30,0,False,42
permABC-Vanilla,46415.88833612777,1.583779812034305,21544.346900318847,0.7351254690439781,1.0180863037303942,24.061401037690615,932.9665745584225,27.631021114771034,0.40792931703454116,10.168402175105212,0.7284673867129999,1.814336060755428,30,0,False,42
permABC-Vanilla,100000.0,3.412150168418884,10000.0,0.34121501684188843,0.9446739386576097,24.124506457463,871.4330111354373,27.631021114837797,0.32205074910096826,10.176315874455934,0.646030195744875,1.7790524755381931,30,0,False,42
permABC-Vanilla,215443.4690031882,7.351254690439772,4641.588833612783,0.1583779812034307,0.8839277887204843,24.10718144461562,835.9547837431196,27.63102111475266,0.2600313075493205,10.195916093901678,0.5886193946003816,1.7553846786042846,30,0,False,42
permABC-Vanilla,464158.8833612778,15.837798120343052,2154.434690031884,0.0735125469043978,0.8337495726022234,24.20353168388163,806.2466063168647,27.631021114845918,0.21269426337580216,10.238759463813375,0.5400538174431918,1.7448592176657285,30,0,False,42
permABC-Vanilla,1000000.0,34.12150168418884,1000.0,0.03412150168418884,0.7885355665252569,24.19501253373498,777.9162807652003,27.631021114864748,0.18580117604443522,10.227353583012269,0.5106275406907667,1.7390545319207047,30,0,False,42
ABC-SMC,950.0,0.023576752344767252,28500.0,0.7073025703430176,9.694539543371878,23.958315223331816,29696.92447471667,27.631021114615898,7.646615417843007,10.027443028633288,12.53197929153914,13.305143719634932,30,0,False,42
ABC-SMC,1852.0,0.03798870245615641,55560.0,1.1396610736846924,9.292140452222991,23.958539495050665,29249.177640906644,27.63102111463595,7.64344085167167,10.032312460228427,12.397217915838086,13.160575059027165,30,0,False,42
ABC-SMC,2708.0,0.05194070339202881,81240.0,1.5582211017608643,9.105712306370677,23.96005008907728,28751.120696803613,27.631021114635505,7.623746664289516,10.032006634062798,12.279324114498534,13.041962173481114,30,0,False,42
ABC-SMC,3521.0,0.06512815952301025,105630.0,1.9538447856903076,8.941230322544135,23.964313740637223,28360.509000275455,27.631021114656384,7.597898792537447,10.032982485794939,12.174701721304437,12.932831209075816,30,0,False,42
ABC-SMC,4293.0,0.07911602656046549,128790.0,2.373480796813965,8.803985489187049,23.95720288474197,27854.297091016677,27.631021114655585,7.558893980064692,10.026321027868843,12.079286180197816,12.837471412376594,30,0,False,42
ABC-SMC,5026.0,0.09355656305948894,150780.0,2.806696891784668,8.67337980979062,23.959587849805928,27492.203392465763,27.631021114655493,7.556984282364629,10.027151992090921,11.99592964089555,12.747747535938155,30,0,False,42
ABC-SMC,5722.0,0.10695038636525471,171660.0,3.2085115909576416,8.59026820785045,23.96048837968958,26948.663856330386,27.631021114655198,7.55749694659681,10.020659002315398,11.913569915521945,12.648647167286432,30,0,False,42
ABC-SMC,6383.0,0.12089483737945557,191490.0,3.626845121383667,8.514980851269616,23.961709883548377,26775.20140765322,27.63102111467576,7.569362649907613,10.028541091247437,11.842017956023806,12.563759657056076,30,0,False,42
ABC-SMC,7011.0,0.13263378143310547,210330.0,3.979013442993164,8.429401441919582,23.971874735847507,26726.31009586267,27.63102111469765,7.570838276777637,10.042053497956859,11.763477540100753,12.487540324648446,30,0,False,42
ABC-SMC,7607.0,0.14569411277770997,228210.0,4.370823383331299,8.334586003942238,23.967657163312722,26584.4985128709,27.63102111469703,7.541768418597558,10.046714912624974,11.692350054061787,12.40733252735358,30,0,False,42
ABC-SMC,8173.0,0.15902686913808187,245190.0,4.770806074142456,8.272128796543017,23.979651266384728,26343.212960280456,27.631021114697774,7.542624766048424,10.05345711004449,11.624473762242284,12.337239636429933,30,0,False,42
ABC-SMC,8710.0,0.17292784849802653,261300.0,5.187835454940796,8.216774856235707,23.984870252314703,26340.806402012167,27.63102111469791,7.58393349669345,10.066572978753273,11.560703640010745,12.261287333173067,30,0,False,42
