method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,kl_mu_avg,w2_sigma2,w2_mu_avg,sw2_joint,K,K_outliers,include_osum,seed,M0
ABC-Vanilla,1000.0,0.0058874487876892,1000000.0,5.887448787689209,33.09544301503242,23.94279073507796,17075.76222420636,27.631021114591608,8.592707194724753,10.002948830491448,16.617130160408905,16.697045961797123,10,4,True,42,
ABC-Vanilla,2154.434690031884,0.0126841239039837,464158.8833612779,2.7327116551405326,18.141018347900683,23.93982812803203,17952.74159227855,27.63102111455369,8.40632995796474,10.052272372561417,16.75027631030401,16.722109249587604,10,4,True,42,
ABC-Vanilla,4641.588833612778,0.0273271165514053,215443.4690031884,1.2684123903983793,16.108104929361815,23.965061946304623,17607.44869904717,27.631021114614533,8.427679610065589,10.0252905649109,16.664722762029978,16.758377311280793,10,4,True,42,
ABC-Vanilla,10000.0,0.058874487876892,100000.0,0.5887448787689209,14.681501373424007,23.93686930675394,17811.01600841075,27.631021114634056,8.428495583706098,10.039979535384878,16.638558217005794,16.69377468243519,10,4,True,42,
ABC-Vanilla,21544.34690031884,0.1268412390398379,46415.88833612779,0.2732711655140533,13.546114879553176,23.943425622192084,18140.261513805155,27.63102111459501,8.565727956451648,10.0366090535882,16.894862820169116,16.921291090906344,10,4,True,42,
ABC-Vanilla,46415.88833612777,0.2732711655140531,21544.346900318847,0.1268412390398379,12.577995060799678,23.96112623698064,17075.078818870887,27.63102111455413,8.298520089056101,9.981640745582014,16.77089952587379,16.868407251858613,10,4,True,42,
ABC-Vanilla,100000.0,0.5887448787689209,10000.0,0.058874487876892,11.73153458740996,23.914701291572683,17358.993552827098,27.631021114611155,8.787336051514185,9.988869662177526,16.77750569936442,16.88385903854736,10,4,True,42,
ABC-Vanilla,215443.4690031882,1.2684123903983782,4641.588833612783,0.0273271165514053,10.986410132933685,23.944108114068445,17501.2129956984,27.63102111457332,8.777905299601866,9.998239103507176,16.84247335300686,16.899362843098118,10,4,True,42,
ABC-Vanilla,464158.8833612778,2.732711655140532,2154.434690031884,0.0126841239039837,10.290566889576011,23.94443720074496,17314.978996405007,27.63102111461489,8.66293338278253,9.987611725406031,16.747793640230704,16.81342384560752,10,4,True,42,
ABC-Vanilla,1000000.0,5.887448787689209,1000.0,0.0058874487876892,9.63210406476654,23.96858129938884,17415.62733426639,27.631021114557296,8.319531785630584,10.003402016355002,16.731060047164437,16.839840657183213,10,4,True,42,
permABC-Vanilla,1000.0,0.0116961483955383,1000000.0,11.69614839553833,21.48309140198174,23.98959978528846,4145.179205296288,27.631021114598845,8.465085362858,10.04188363463788,7.303528506151997,7.9982782513782045,10,4,True,42,
permABC-Vanilla,2154.434690031884,0.0251985878431085,464158.8833612779,5.428871178900874,8.469793442659364,23.98507300600921,2753.5252105295176,27.631021114619628,7.542264294202075,10.048384963958258,5.767407606950505,6.578025267860632,10,4,True,42,
permABC-Vanilla,4641.588833612778,0.0542887117890087,215443.4690031884,2.5198587843108537,7.092256132422051,23.97653527291012,2040.0655075534,27.63102111465752,7.086713906847014,10.040431003727033,4.816952476081054,5.74016039312177,10,4,True,42,
permABC-Vanilla,10000.0,0.1169614839553832,100000.0,1.169614839553833,6.155317111519068,23.92968686403849,1588.7282327706855,27.6310211145722,6.345183194538641,9.968514156966776,4.188124979025192,5.219389930443188,10,4,True,42,
permABC-Vanilla,21544.34690031884,0.2519858784310853,46415.88833612779,0.5428871178900874,5.427680680655935,23.947623350568414,1332.7757868843644,27.63102111457385,5.706646624186948,10.018528010730678,3.650494953266416,4.791633843442548,10,4,True,42,
permABC-Vanilla,46415.88833612777,0.542887117890087,21544.346900318847,0.2519858784310854,4.839356284541089,23.9706801094414,1118.1021035606368,27.631021114637928,5.076758333178686,10.037510624012242,3.2156320311007627,4.460683175892828,10,4,True,42,
permABC-Vanilla,100000.0,1.1696148395538328,10000.0,0.1169614839553833,4.3426683253999805,23.939675602279724,938.810085414387,27.63102111461404,4.275093436262422,10.026620969603806,2.819352964673262,4.191083532784448,10,4,True,42,
