method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,kl_mu_avg,w2_sigma2,w2_mu_avg,sw2_joint,K,K_outliers,include_osum,seed,M0
ABC-Vanilla,1000.0,0.0082426767349243,1000000.0,8.242676734924316,20.27398475240456,23.916690150201607,14602.027284916305,27.63102111154721,7.55514827682584,9.983809605777292,12.400095106066392,12.790430852163436,15,0,True,42,
ABC-Vanilla,2154.434690031884,0.0177583086964396,464158.8833612779,3.825911629190455,10.982781596937244,23.88114666862548,14982.031834103334,6.9077552771665305,7.377927938140001,10.005925996769488,12.41121636614513,12.779266997532911,15,0,True,42,
ABC-Vanilla,4641.588833612778,0.0382591162919045,215443.4690031884,1.775830869643969,9.72990551852834,23.96551329806338,14803.39024172657,27.631021111511256,7.390102382096247,10.011873235246618,12.457756731383238,12.847698836699264,15,0,True,42,
ABC-Vanilla,10000.0,0.0824267673492431,100000.0,0.8242676734924317,8.862579165196767,23.975501573322823,14895.470901545952,27.631021111429195,7.378784942167463,10.045026961494395,12.3139967667239,12.70504378372125,15,0,True,42,
ABC-Vanilla,21544.34690031884,0.1775830869643968,46415.88833612779,0.3825911629190455,8.181706228519767,23.95138682198898,14803.77896343602,27.63102111148721,7.542415116362596,10.008463303399,12.506941584259131,12.818334413914185,15,0,True,42,
ABC-Vanilla,46415.88833612777,0.3825911629190452,21544.346900318847,0.1775830869643969,7.613589665663266,23.9587325828208,14670.004120238504,27.631021111427565,7.560006322080532,10.016294067764154,12.430413619178177,12.769311022800863,15,0,True,42,
ABC-Vanilla,100000.0,0.8242676734924316,10000.0,0.0824267673492431,7.110657131965523,23.94954743608665,14609.436648896704,27.63102111144884,7.5362993819468596,10.007901206780634,12.376049066797082,12.701216459634391,15,0,True,42,
ABC-Vanilla,215443.4690031882,1.7758308696439673,4641.588833612783,0.0382591162919045,6.671343437815237,23.959960919196902,14455.479431233529,27.631021111470183,7.594401085884713,9.984977904569332,12.424705935205646,12.786465110699336,15,0,True,42,
ABC-Vanilla,464158.8833612778,3.8259116291904536,2154.434690031884,0.0177583086964396,6.284892832344018,23.9376677761872,14736.198576099188,27.631021111406632,7.68976466928132,9.994201733526149,12.490496969751655,12.799971402776842,15,0,True,42,
ABC-Vanilla,1000000.0,8.242676734924316,1000.0,0.0082426767349243,5.926322454168266,23.98256593518388,14381.17737084629,27.631021111532927,7.581882687672978,9.993397863605717,12.451933861015467,12.766390130017587,15,0,True,42,
permABC-Vanilla,1000.0,0.0196376800537109,1000000.0,19.637680053710938,12.731731078954011,23.949936007169185,2321.124729834131,27.631021111467987,5.568945222052931,10.00717595598448,4.343939396905409,5.192969910173332,15,0,True,42,
permABC-Vanilla,2154.434690031884,0.042308099139462,464158.8833612779,9.11500364553651,3.665248557259009,23.952789412709365,1148.844889126102,27.63102111153101,3.164046289007515,10.014014259281106,2.422490762735777,3.5805172390043314,15,0,True,42,
permABC-Vanilla,4641.588833612778,0.091150036455365,215443.4690031884,4.230809913946203,2.744368136037798,23.96632213912438,846.3121346710785,27.631021111490657,1.991777661993847,10.032208000519011,1.7681394711363718,3.107286642120697,15,0,True,42,
permABC-Vanilla,10000.0,0.1963768005371093,100000.0,1.9637680053710933,2.250969142972672,23.99864122005136,682.7850758470497,27.63102111151271,1.2600299696413282,10.05065020360804,1.357199441040735,2.868751263074954,15,0,True,42,
permABC-Vanilla,21544.34690031884,0.4230809913946203,46415.88833612779,0.9115003645536508,1.9306781561569488,24.037566421996395,592.1817211612881,27.63102111159908,0.836130173415073,10.087098158614276,1.1018258463784556,2.7440398243103457,15,0,True,42,
permABC-Vanilla,46415.88833612777,0.9115003645536504,21544.346900318847,0.4230809913946204,1.7090678472194312,24.03365249524636,528.439769652028,27.631021111620765,0.5724325512450918,10.088183469758985,0.9091119893177616,2.6622086888220995,15,0,True,42,
permABC-Vanilla,100000.0,1.9637680053710933,10000.0,0.1963768005371093,1.5396228197994668,24.031478616030384,482.6868297337082,27.63102111161859,0.3987199500861906,10.087438857561509,0.7516565524202379,2.6036281077697043,15,0,True,42,
permABC-Vanilla,215443.4690031882,4.230809913946199,4641.588833612783,0.0911500364553651,1.4067579658174405,24.09732689755375,449.2273755355056,27.6310211116858,0.2816456741921772,10.119654890588375,0.635585142599552,2.570947915265933,15,0,True,42,
permABC-Vanilla,464158.8833612778,9.115003645536508,2154.434690031884,0.042308099139462,1.3011646639033494,24.10494697388127,429.7928295246958,27.63102111166784,0.210969544874613,10.163092328056242,0.5449478590215817,2.5612426087514804,15,0,True,42,
permABC-Vanilla,1000000.0,19.637680053710938,1000.0,0.0196376800537109,1.2145645640696237,24.12008585690541,410.1291871661558,27.63102111170867,0.158777217897082,10.176411793622425,0.4686138370707826,2.547250787567715,15,0,True,42,
ABC-SMC,950.0,0.0443007469177246,14250.0,0.6645112037658691,14.058627334569668,23.950412209796266,13907.576209247043,27.63102111146712,7.569714963234928,9.994416575613892,12.1616265678305,12.541353406597628,15,0,True,42,
ABC-SMC,1852.0,0.0694480895996093,27780.0,1.0417213439941406,13.464770263033897,23.94758618053212,13447.02906725688,27.631021111466275,7.577272545681445,9.98865477270879,11.987419455253152,12.363022609253912,15,0,True,42,
ABC-SMC,2708.0,0.093022092183431,40620.0,1.3953313827514648,13.047646318405308,23.94718618419101,13182.787737594745,27.631021111486653,7.608416349978538,9.992618131300356,11.840209944462687,12.20014420638456,15,0,True,42,
ABC-SMC,3521.0,0.1182033538818359,52815.0,1.773050308227539,12.744355211855542,23.95125448888925,12885.57171282795,27.631021111486746,7.560142578836354,9.992448155947534,11.69209193330902,12.058718491149005,15,0,True,42,
ABC-SMC,4293.0,0.1455751578013102,64395.0,2.1836273670196533,12.432670218308646,23.951470672676,12638.57045995309,27.6310211114864,7.539945749974125,9.993480501173016,11.568762541823748,11.93558072945493,15,0,True,42,
ABC-SMC,5026.0,0.1720791180928548,75390.0,2.5811867713928223,12.220307490327707,23.9461533274221,12456.419873552508,27.631021111486124,7.522456839901578,9.994830810817424,11.45849711196368,11.81523146675753,15,0,True,42,
ABC-SMC,5722.0,0.1970714886983235,85830.0,2.956072330474853,12.077602298656611,23.940964779224853,12261.20720859152,27.631021111485527,7.513402782234042,9.995570519857903,11.341079109484046,11.701160775254898,15,0,True,42,
ABC-SMC,6383.0,0.2237980683644612,95745.0,3.356971025466919,11.87871458648966,23.940906633735523,12029.093387034727,27.63102111148505,7.489411508431357,9.99167891287678,11.237536734174231,11.609447877951808,15,0,True,42,
ABC-SMC,7011.0,0.2489667733510335,105165.0,3.734501600265503,11.731166360053288,23.94225183236212,11843.572913721766,27.631021111485182,7.514841913163809,9.992204117942402,11.141768464843471,11.50376843947632,15,0,True,42,
ABC-SMC,7607.0,0.2751774311065674,114105.0,4.127661466598511,11.630524639727907,23.935160403349904,11726.12221516334,27.631021111484323,7.56887086030251,9.994918729151168,11.046263680743529,11.411423484728887,15,0,True,42,
ABC-SMC,8173.0,0.3005353450775146,122595.0,4.50803017616272,11.461298259019737,23.92804757679199,11593.908948061917,27.63102111150437,7.562769107028874,9.994552273555373,10.95270245348584,11.323181857934074,15,0,True,42,
ABC-SMC,8710.0,0.3275044759114583,130650.0,4.912567138671875,11.332213007940345,23.94127668592252,11451.090169824727,27.63102111152549,7.506692901261432,10.005722689408683,10.84812109813947,11.244421410264252,15,0,True,42,
ABC-SMC,9220.0,0.3521443367004394,138300.0,5.282165050506592,11.195104493622102,23.93995976839921,11260.694040042814,27.63102111152509,7.499802111941295,10.001864502075849,10.75794172462936,11.153225149301791,15,0,True,42,
