method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,kl_mu_avg,w2_sigma2,w2_mu_avg,sw2_joint,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.025793701171875,1000000.0,25.793701171875,10.13322043581102,23.908552681585693,68956.1673597386,27.63102111444838,7.937719783987401,10.017422206132082,14.619137286285188,15.679565967495181,50,5,False,42
ABC-Vanilla,2154.4346900318833,0.055570844589003535,464158.8833612779,11.972375533691986,7.26069380026499,23.922489957700996,67390.10682760083,27.6310211145493,8.034889455265757,10.000226315551574,14.614867755731058,15.700582300362495,50,5,False,42
ABC-Vanilla,4641.588833612778,0.11972375533691983,215443.4690031884,5.557084458900356,6.863674606873215,23.927409294314366,67118.72114738621,27.631021114530313,7.945577614487974,10.000421675439702,14.60829224445155,15.69821346049113,50,5,False,42
ABC-Vanilla,10000.0,0.25793701171875,100000.0,2.5793701171875,6.586043069701437,23.897212382000575,67270.31660080451,27.631021114507472,7.937633662200319,9.995663463455665,14.581389437311866,15.66027353788677,50,5,False,42
ABC-Vanilla,21544.346900318837,0.5557084458900354,46415.88833612779,1.1972375533691986,6.361130972318734,23.969289135010513,67644.83394436444,27.63102111463694,8.174600466861582,10.019046571177837,14.659256213359217,15.760118996357038,50,5,False,42
ABC-Vanilla,46415.88833612777,1.197237553369198,21544.346900318847,0.5557084458900358,6.173576105124367,23.909150447235277,66156.6796591555,27.631021114468595,7.858807753564528,9.973148417327382,14.613639220678449,15.723132756767624,50,5,False,42
ABC-Vanilla,100000.0,2.5793701171875,10000.0,0.25793701171875,6.0055179870265825,23.964403436104345,67919.65809819457,27.631021114658008,8.004490707275297,10.024530033417614,14.64749928643506,15.785245258606471,50,5,False,42
ABC-Vanilla,215443.4690031882,5.55708445890035,4641.588833612783,0.11972375533691994,5.854427028947383,23.943371198115393,68035.76933216574,27.63102111455135,8.146036761845004,10.011941827298418,14.649892757636124,15.73111481253151,50,5,False,42
ABC-Vanilla,464158.8833612778,11.972375533691983,2154.434690031884,0.05557084458900356,5.71771845828359,23.93835512902836,66833.58527617922,27.631021114551952,8.004675821136347,9.997878802548707,14.61412091140238,15.681612176403435,50,5,False,42
ABC-Vanilla,1000000.0,25.793701171875,1000.0,0.025793701171875,5.586695532885565,23.952004713474842,67078.27080891958,27.631021114551917,8.196671528087018,10.000268638558715,14.655286418873573,15.752483093576405,50,5,False,42
permABC-Vanilla,1000.0,0.06693798542022705,1000000.0,66.93798542022705,3.7894467684538893,23.94878126828544,5147.445637277073,27.63102111457369,4.797463182995771,9.991774661495473,3.1210292892784457,3.76037085409553,50,5,False,42
permABC-Vanilla,2154.4346900318833,0.1442135178701856,464158.8833612779,31.06986056710609,1.7987688729936453,23.94212948973965,3815.6304886738008,27.631021114592933,3.5656008558700396,9.993157113404553,2.432797481669551,3.072416690165198,50,5,False,42
permABC-Vanilla,4641.588833612778,0.31069860567106083,215443.4690031884,14.421351787018564,1.5405689872488408,23.97477523906317,3165.6077832954616,27.63102111459765,2.6826344343247865,10.037655345343007,2.027959739203682,2.6667446228005827,50,5,False,42
permABC-Vanilla,10000.0,0.6693798542022705,100000.0,6.693798542022705,1.3657527235977922,23.975676927813172,2767.565191657003,27.63102111461857,2.07722768979736,10.045420849818143,1.7357164719805394,2.39188029134374,50,5,False,42
permABC-Vanilla,21544.346900318837,1.4421351787018561,46415.88833612779,3.106986056710609,1.2319395701937845,24.05131434618533,2443.880115253801,27.631021114768526,1.6381956871860925,10.069888604657608,1.5230165509483182,2.203427680397948,50,5,False,42
permABC-Vanilla,46415.88833612777,3.1069860567106073,21544.346900318847,1.4421351787018568,1.1231254350373052,24.073756689860307,2227.135158684174,27.631021114708656,1.282021560711572,10.10587690646146,1.3340079219978258,2.03923908760734,50,5,False,42
