method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,kl_mu_avg,w2_sigma2,w2_mu_avg,sw2_joint,K,K_outliers,include_osum,seed,M0
ABC-Vanilla,1000.0,0.0165932006835937,1000000.0,16.59320068359375,12.651289226834091,24.00028299255733,30980.63601206768,27.63102111466122,7.588403953614276,10.058202439747848,12.694832099870109,13.507481032297978,30,0,True,42,
ABC-Vanilla,2154.4346900318837,0.0357489671713951,464158.8833612779,7.701881500686468,8.028340245956288,23.9564881747878,30878.96477103121,27.63102111463409,7.540133382572416,10.03327703019858,12.72857526855474,13.497497543747995,30,0,True,42,
ABC-Vanilla,4641.588833612778,0.0770188150068646,215443.4690031884,3.5748967171395147,7.39806608560161,23.974531324345477,30541.60352309504,27.63102111463833,7.620657907071748,10.00940338120834,12.852652210208586,13.613081827025072,30,0,True,42,
ABC-Vanilla,10000.0,0.1659320068359375,100000.0,1.6593200683593752,6.95689554083342,23.9713247154474,29790.45871970045,27.63102111457627,7.748111721046138,10.017487927034152,12.618384449849891,13.422497721277344,30,0,True,42,
ABC-Vanilla,21544.34690031884,0.3574896717139514,46415.88833612779,0.7701881500686469,6.604845760887841,23.956174617954865,30690.82019184078,27.631021114556432,7.531771937220032,10.028817961900398,12.739940478441138,13.508767303698416,30,0,True,42,
ABC-Vanilla,46415.88833612777,0.7701881500686465,21544.346900318847,0.3574896717139516,6.305374270273272,23.99564904233592,30321.5798910222,27.631021114659077,7.634493656580208,10.036003891295431,12.685976337365856,13.465177168960585,30,0,True,42,
ABC-Vanilla,100000.0,1.6593200683593752,10000.0,0.1659320068359375,6.0462148488894565,23.90824949635461,30505.647251852464,27.631021114508325,7.509579278613342,9.996611523381258,12.745389020909402,13.517656978832116,30,0,True,42,
ABC-Vanilla,215443.4690031882,3.574896717139512,4641.588833612783,0.0770188150068647,5.809818409555117,23.97758230681252,30991.14049266813,27.631021114617933,7.517919957082981,10.0368523810973,12.7670398652747,13.580120401072609,30,0,True,42,
ABC-Vanilla,464158.8833612778,7.701881500686468,2154.434690031884,0.0357489671713951,5.593120558785918,23.920027264258383,30930.03184437051,27.63102111457172,7.455745129451309,10.0233882574493,12.75316041239012,13.50880361343458,30,0,True,42,
ABC-Vanilla,1000000.0,16.59320068359375,1000.0,0.0165932006835937,5.395559860609907,23.98662894240479,29738.584203566126,27.63102111461721,7.542375303837861,10.005895687127923,12.682639203234968,13.46979500383646,30,0,True,42,
permABC-Vanilla,1000.0,0.0341215016841888,1000000.0,34.12150168418884,6.2082511446347945,23.95940128332377,2360.360111855515,27.631021114554034,3.1588410996408114,10.043030803619592,2.544664441615866,3.090646383339048,30,0,True,42,
permABC-Vanilla,2154.4346900318837,0.0735125469043977,464158.8833612779,15.837798120343058,1.7575759762331284,23.94207563139248,1438.2331469659457,27.63102111461336,1.4068683583087929,10.0177249798104,1.4618830373745872,2.250896438191322,30,0,True,42,
permABC-Vanilla,4641.588833612778,0.1583779812034305,215443.4690031884,7.351254690439779,1.4199170442180122,24.019176933576716,1189.3822841619638,27.631021114724184,0.9270598714560396,10.062935771620536,1.1247468408731414,2.018990214512693,30,0,True,42,
permABC-Vanilla,10000.0,0.3412150168418884,100000.0,3.4121501684188846,1.234835821184313,24.049255171297617,1061.4479421855765,27.631021114788872,0.6817851959429628,10.100703810084651,0.9332452021984046,1.911753155544977,30,0,True,42,
permABC-Vanilla,21544.34690031884,0.7351254690439778,46415.88833612779,1.5837798120343058,1.1105120194638436,24.03265843688544,984.1614657197944,27.631021114724867,0.5149962955824618,10.11632199954993,0.8082505465650913,1.843152512487343,30,0,True,42,
permABC-Vanilla,46415.88833612777,1.583779812034305,21544.346900318847,0.7351254690439781,1.0180863037303942,24.06140103769061,932.9665745584224,27.631021114771038,0.4079293170345411,10.168402175105212,0.7284673867129999,1.814336060755428,30,0,True,42,
permABC-Vanilla,100000.0,3.412150168418884,10000.0,0.3412150168418884,0.9446739386576096,24.124506457463,871.4330111354373,27.6310211148378,0.3220507491009682,10.176315874455934,0.646030195744875,1.7790524755381931,30,0,True,42,
permABC-Vanilla,215443.4690031882,7.351254690439772,4641.588833612783,0.1583779812034307,0.8839277887204843,24.10718144461562,835.9547837431196,27.63102111475266,0.2600313075493205,10.195916093901678,0.5886193946003816,1.7553846786042846,30,0,True,42,
permABC-Vanilla,464158.8833612778,15.837798120343052,2154.434690031884,0.0735125469043978,0.8337495726022234,24.20353168388163,806.2466063168647,27.63102111484592,0.2126942633758021,10.238759463813375,0.5400538174431918,1.7448592176657285,30,0,True,42,
permABC-Vanilla,1000000.0,34.12150168418884,1000.0,0.0341215016841888,0.7885355665252569,24.19501253373498,777.9162807652003,27.631021114864748,0.1858011760444352,10.227353583012269,0.5106275406907667,1.7390545319207047,30,0,True,42,
ABC-SMC,950.0,0.0235767523447672,28500.0,0.7073025703430176,9.694539543371878,23.958315223331816,29696.92447471667,27.631021114615898,7.646615417843007,10.027443028633288,12.53197929153914,13.305143719634932,30,0,True,42,
ABC-SMC,1852.0,0.0379887024561564,55560.0,1.1396610736846924,9.292140452222991,23.958539495050665,29249.177640906644,27.63102111463595,7.64344085167167,10.032312460228429,12.397217915838086,13.160575059027163,30,0,True,42,
ABC-SMC,2708.0,0.0519407033920288,81240.0,1.5582211017608645,9.105712306370677,23.96005008907728,28751.120696803613,27.631021114635505,7.623746664289516,10.032006634062798,12.279324114498534,13.041962173481114,30,0,True,42,
ABC-SMC,3521.0,0.0651281595230102,105630.0,1.953844785690308,8.941230322544135,23.964313740637223,28360.50900027545,27.631021114656384,7.597898792537447,10.03298248579494,12.174701721304436,12.932831209075816,30,0,True,42,
ABC-SMC,4293.0,0.0791160265604654,128790.0,2.373480796813965,8.803985489187049,23.95720288474197,27854.29709101668,27.631021114655585,7.558893980064692,10.026321027868844,12.079286180197816,12.837471412376594,30,0,True,42,
ABC-SMC,5026.0,0.0935565630594889,150780.0,2.806696891784668,8.67337980979062,23.959587849805928,27492.203392465763,27.631021114655493,7.556984282364629,10.02715199209092,11.99592964089555,12.747747535938156,30,0,True,42,
ABC-SMC,5722.0,0.1069503863652547,171660.0,3.2085115909576416,8.59026820785045,23.96048837968958,26948.663856330382,27.6310211146552,7.55749694659681,10.020659002315398,11.913569915521943,12.648647167286432,30,0,True,42,
ABC-SMC,6383.0,0.1208948373794555,191490.0,3.626845121383667,8.514980851269616,23.961709883548377,26775.20140765322,27.63102111467576,7.569362649907613,10.028541091247437,11.842017956023806,12.563759657056076,30,0,True,42,
ABC-SMC,7011.0,0.1326337814331054,210330.0,3.979013442993164,8.429401441919582,23.971874735847507,26726.31009586267,27.63102111469765,7.570838276777637,10.04205349795686,11.763477540100752,12.487540324648446,30,0,True,42,
ABC-SMC,7607.0,0.1456941127777099,228210.0,4.370823383331299,8.334586003942238,23.96765716331272,26584.4985128709,27.63102111469703,7.541768418597558,10.046714912624974,11.692350054061787,12.40733252735358,30,0,True,42,
ABC-SMC,8173.0,0.1590268691380818,245190.0,4.770806074142456,8.272128796543017,23.979651266384728,26343.212960280456,27.631021114697774,7.542624766048424,10.05345711004449,11.624473762242284,12.337239636429931,30,0,True,42,
ABC-SMC,8710.0,0.1729278484980265,261300.0,5.187835454940796,8.216774856235707,23.984870252314703,26340.806402012167,27.63102111469791,7.58393349669345,10.066572978753271,11.560703640010743,12.261287333173067,30,0,True,42,
ABC-SMC,9220.0,0.186214812596639,276600.0,5.58644437789917,8.131857975431373,23.98476008685785,25823.133788123545,27.6310211147184,7.58509759894146,10.057142900665015,11.486768218891706,12.192449607171714,30,0,True,42,
ABC-SMC,21115.702479338845,0.3997899940848022,306600.0,5.804950714111328,8.063401989976251,23.97814008007203,25690.057533938536,27.63102111471803,7.617838252569749,10.0569454414212,11.43074094840092,12.11471674700084,30,0,True,42,
ABC-SMC,23080.578512396696,0.4283983188555589,335130.0,6.220343589782715,8.017421426881263,23.984110060741187,25455.215155438604,27.63102111471883,7.642984377953884,10.059456214360452,11.376285367610164,12.05145120726576,30,0,True,42,
ABC-SMC,24896.90721649485,0.457695489077224,362250.0,6.659469366073608,7.958416977770161,23.99780029912747,25160.97146434625,27.631021114740445,7.681999996581405,10.061525932477336,11.323939643031265,11.98539612064942,30,0,True,42,
ABC-SMC,26668.041237113408,0.4881137998653032,388020.0,7.102055788040161,7.902712153655957,23.99495892023904,25018.693645302475,27.63102111473998,7.692803707402761,10.061181116018576,11.268733241466927,11.927510869148293,30,0,True,42,
ABC-SMC,28350.515463917527,0.5168336199730943,412500.0,7.51992917060852,7.85330826054454,24.001179151419397,24870.16134380156,27.63102111476118,7.706081106367507,10.063881389896077,11.218173568591936,11.865373047471827,30,0,True,42,
ABC-SMC,29948.453608247422,0.5440072423404027,435750.0,7.915305376052856,7.805606251077651,24.00018049760198,24721.502252252176,27.63102111476073,7.69433590002829,10.064421738562052,11.165736139063595,11.819004199635682,30,0,True,42,
ABC-SMC,31468.041237113408,0.5746550904106849,457860.0,8.361231565475464,7.721560958520784,23.99664043202789,24693.97452518596,27.631021114760276,7.764559603746707,10.067347996271645,11.116011267826048,11.759979178190408,30,0,True,42,
ABC-SMC,32911.340206185574,0.6025398392038247,478860.0,8.76695466041565,7.681341244647086,23.999806069917987,24282.80159965393,27.63102111476016,7.772204327111733,10.063193457964449,11.06106915690765,11.70660675823156,30,0,True,42,
ABC-SMC,34282.47422680412,0.6284654099507021,498810.0,9.144171714782717,7.6296099625510205,24.001175580949965,23884.87170858335,27.63102111476001,7.787522671364418,10.054216381039712,11.024016884728864,11.652846976331634,30,0,True,42,
ABC-SMC,35585.567010309285,0.6552506640195028,517770.0,9.533897161483765,7.60634961190873,24.011901905497645,23593.39064749061,27.63102111476049,7.844914513079634,10.047909599998372,10.982612495933166,11.600520328889615,30,0,True,42,
ABC-SMC,36824.74226804124,0.6808506582201143,535800.0,9.90637707710266,7.570000446049481,24.02577751264592,23387.54692905796,27.63102111476166,7.840947178955082,10.049264264137172,10.932063238173606,11.55698984681441,30,0,True,42,
ABC-SMC,38002.06185567011,0.7072493136953244,552930.0,10.290477514266968,7.513838885120291,24.047062328180736,23170.83331446065,27.63102111478446,7.862526312327811,10.052795228723468,10.891625633316448,11.520638638591295,30,0,True,42,
ABC-SMC,39119.58762886599,0.7341587256729809,569190.0,10.68200945854187,7.474641108839743,24.03849582456708,23202.366344381506,27.631021114783618,7.917561289164381,10.055244688482436,10.841698392697747,11.478374135438877,30,0,True,42,
ABC-SMC,40181.44329896908,0.7595512547443823,584640.0,11.051470756530762,7.4229376501683,24.05223739580422,22776.064929454064,27.63102111478472,7.930490825132621,10.0496565151717,10.799792640633871,11.436303502063884,30,0,True,42,
ABC-SMC,86813.55932203389,1.570162328623109,614640.0,11.116749286651611,7.379159517596629,24.06540339055364,22814.425769204136,27.63102111482773,7.907441090535586,10.06056144471052,10.765045551524173,11.39570584185792,30,0,True,42,
