method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,kl_mu_avg,w2_sigma2,w2_mu_avg,sw2_joint,K,K_outliers,include_osum,seed,M0
ABC-Vanilla,1000.0,0.0159162781238555,1000000.0,15.91627812385559,13.373292604530567,23.95440516859574,36074.77605035245,27.63102111459344,7.937577298383961,9.99113021646646,13.8368829358325,15.225203676364767,30,3,True,42,
ABC-Vanilla,2154.4346900318837,0.03429058172623,464158.8833612779,7.387681881236347,8.926649800426954,23.936811204862,38140.38354540163,27.63102111451018,7.950722773974766,10.030572705915974,13.899437836132511,15.308260860404902,30,3,True,42,
ABC-Vanilla,4641.588833612778,0.0738768188123634,215443.4690031884,3.4290581726230074,8.272676330681406,23.9194754761721,37372.94969014363,27.6310211145902,7.985010088109004,9.992445627751383,13.968573253328444,15.451098412022512,30,3,True,42,
ABC-Vanilla,10000.0,0.1591627812385559,100000.0,1.5916278123855592,7.814328798493619,23.991246241186506,36969.8524805955,27.63102111467934,7.824628695694549,10.019761489463145,13.999351014665926,15.405081661082558,30,3,True,42,
ABC-Vanilla,21544.34690031884,0.3429058172623007,46415.88833612779,0.7387681881236347,7.447690776357978,23.97000596848357,37955.31021496834,27.63102111463717,7.787172852192088,10.038446359619291,13.916201827524988,15.392717150267986,30,3,True,42,
ABC-Vanilla,46415.88833612777,0.7387681881236343,21544.346900318847,0.3429058172623008,7.13938510020457,23.970678215741792,37697.92110187301,27.631021114597,7.957814180012376,10.03049109747483,13.975286315901457,15.437424365351225,30,3,True,42,
ABC-Vanilla,100000.0,1.5916278123855592,10000.0,0.1591627812385559,6.86540957009927,23.98351514097029,37713.68970081827,27.63102111459865,8.002323390243085,10.042050570062944,13.935968975178444,15.37697734963955,30,3,True,42,
ABC-Vanilla,215443.4690031882,3.4290581726230047,4641.588833612783,0.0738768188123635,6.615108729005118,23.962857860898268,36374.41212703975,27.63102111461908,7.8920024618998035,10.002257178893611,13.883653798432048,15.291322918411334,30,3,True,42,
ABC-Vanilla,464158.8833612778,7.387681881236346,2154.434690031884,0.03429058172623,6.383492059199066,23.9641232346418,37314.51229322581,27.631021114657088,8.005095619181107,10.029451613413706,13.96155155876736,15.365868437836635,30,3,True,42,
ABC-Vanilla,1000000.0,15.916278123855593,1000.0,0.0159162781238555,6.178613231584151,23.97771794005868,37846.47618683511,27.63102111461829,7.954186890189693,10.03248477248512,13.967128578447538,15.4302530207667,30,3,True,42,
permABC-Vanilla,1000.0,0.0317782185077667,1000000.0,31.778218507766724,6.355711840083012,23.96002700510815,3333.2743412957457,27.631021114594198,4.331240844624223,10.04298791363923,3.2098970859830604,4.11189697704265,30,3,True,42,
permABC-Vanilla,2154.4346900318837,0.0684640963405458,464158.8833612779,14.7501424177757,2.2548478380056403,23.97245012095622,2093.521576401614,27.631021114594684,2.631680223234633,10.039314919530884,2.0997704749151933,3.072203581106617,30,3,True,42,
permABC-Vanilla,4641.588833612778,0.1475014241777569,215443.4690031884,6.846409634054588,1.8554000278305995,23.96706787440081,1693.963104836908,27.631021114595278,1.927184691492808,10.039059058300596,1.663997666782069,2.6714372811196805,30,3,True,42,
permABC-Vanilla,10000.0,0.3177821850776672,100000.0,3.1778218507766725,1.6121979513675868,24.01596954434809,1461.369860599846,27.63102111468471,1.4506793189920948,10.084156982943624,1.3850532301941885,2.4150179837812167,30,3,True,42,
permABC-Vanilla,21544.34690031884,0.6846409634054587,46415.88833612779,1.4750142417775698,1.4412300437103835,24.02169833230577,1292.9316277602534,27.631021114683133,1.1260085359884644,10.072622126361798,1.1785907028283462,2.2444497267074954,30,3,True,42,
permABC-Vanilla,46415.88833612777,1.4750142417775691,21544.346900318847,0.684640963405459,1.313206931506716,24.0477850612698,1188.8703957933958,27.631021114727684,0.896437241522979,10.110905167132684,1.036063479203052,2.14074266749558,30,3,True,42,
