method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,kl_mu_avg,w2_sigma2,w2_mu_avg,sw2_joint,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.0031491966247558594,1000000.0,3.1491966247558594,49.969384679667,23.941664940499386,4207.771464617161,27.59375276629121,7.510869434965036,9.927161441239118,11.67565888948492,11.787969598156511,5,0,False,42
ABC-Vanilla,2154.4346900318833,0.006784738454105343,464158.8833612779,1.461727588831785,16.730901093539877,23.94293801670306,4151.343975447939,27.593752766353184,7.233775058295921,9.938034171756673,11.59028777539886,11.709679838847086,5,0,False,42
ABC-Vanilla,4641.588833612778,0.014617275888317847,215443.4690031884,0.6784738454105345,13.157531417709482,23.976451896855224,4172.55827568846,27.593752766395667,7.300775815901687,9.927995963572515,11.667256390694247,11.780358816929963,5,0,False,42
ABC-Vanilla,10000.0,0.031491966247558595,100000.0,0.31491966247558595,10.808262177923819,23.92947986352364,4439.5553757157195,27.59375276627102,7.0401910004945965,9.94592155160124,11.862512678412676,11.991023667961647,5,0,False,42
ABC-Vanilla,21544.346900318837,0.06784738454105345,46415.88833612779,0.14617275888317852,9.034110339258438,23.947767000327147,4215.713583569169,27.593752766352733,7.480211709056684,9.913310222688164,11.744560856765466,11.832655130137391,5,0,False,42
ABC-Vanilla,46415.88833612777,0.14617275888317843,21544.346900318847,0.06784738454105348,7.626150577212133,23.93290887927604,4409.929842785745,27.593752766331075,7.659810157639545,9.92898568285243,11.828740953482193,12.000272424936295,5,0,False,42
ABC-Vanilla,100000.0,0.31491966247558595,10000.0,0.031491966247558595,6.497493822891121,23.931686834252247,4276.870938713186,27.593752762079777,7.7743449723777,9.904504925117607,11.851987481261434,11.933581150903207,5,0,False,42
ABC-Vanilla,215443.4690031882,0.6784738454105339,4641.588833612783,0.014617275888317861,5.55647931055988,23.941452536024244,4168.32337459315,27.593752766291942,7.276917764369358,9.947194626294124,11.406954082845166,11.58039206317954,5,0,False,42
ABC-Vanilla,464158.8833612778,1.4617275888317847,2154.434690031884,0.0067847384541053464,4.75314349788974,23.904000147255097,4198.581905283651,27.59375276632565,7.2811341985761775,9.90240619224315,11.562881931177973,11.712580209228339,5,0,False,42
ABC-Vanilla,1000000.0,3.1491966247558594,1000.0,0.0031491966247558594,4.0482910420165235,23.936350191071444,4261.768943199152,27.59375276632902,7.579867317044585,9.925980795233997,11.677622324971855,11.770060736531534,5,0,False,42
permABC-Vanilla,1000.0,0.006402383327484131,1000000.0,6.402383327484131,34.79400861523328,23.946701366250124,1106.8555295837243,27.59375276633349,5.7016399088379615,9.929945723819303,5.393353194222833,6.437647242114916,5,0,False,42
permABC-Vanilla,2154.4346900318833,0.013793516739613572,464158.8833612779,2.971723096135897,7.430255176566541,23.951279156482553,482.1706170498928,27.593752766333843,4.223838660653186,9.96586874499894,2.856195454367753,5.0258763594184,5,0,False,42
permABC-Vanilla,4641.588833612778,0.029717230961358965,215443.4690031884,1.3793516739613576,5.347246052112835,23.972260599576224,300.946403515306,27.59375276629388,2.501066925649309,9.882830652275162,1.9384866875529085,4.6250243441585965,5,0,False,42
permABC-Vanilla,10000.0,0.0640238332748413,100000.0,0.6402383327484131,4.254546993680258,23.9492968572117,239.47831002952702,27.593752766353635,1.4226437561423542,9.912887582639142,1.4427865051080118,4.483214840377033,5,0,False,42
permABC-Vanilla,21544.346900318837,0.13793516739613573,46415.88833612779,0.2971723096135897,3.541446905110378,23.964906381598038,196.0458266434763,27.59375276635572,0.8258740650696191,9.931609102451667,1.0642146294055128,4.391768724891508,5,0,False,42
permABC-Vanilla,46415.88833612777,0.2971723096135896,21544.346900318847,0.1379351673961358,3.0070050144400486,23.999300651073895,167.44370170326903,27.593189424354506,0.4185273997245992,9.991349587144835,0.7372296981602566,4.3594660733683,5,0,False,42
permABC-Vanilla,100000.0,0.6402383327484131,10000.0,0.0640238332748413,2.5785474426987345,23.980283176883702,148.68535920182597,27.593752766417047,0.20586145390620988,10.002417940835086,0.49025648548090484,4.339115752498538,5,0,False,42
permABC-Vanilla,215443.4690031882,1.3793516739613563,4641.588833612783,0.029717230961358993,2.2205572044607527,24.051677553669673,131.52369222968156,27.59375276646802,0.07738867984630965,10.018954380793465,0.2712379839087723,4.328303401622431,5,0,False,42
permABC-Vanilla,464158.8833612778,2.9717230961358965,2154.434690031884,0.013793516739613577,1.9263339247569091,24.062016487621996,120.74306621983209,27.59375276648578,0.03101020807690031,10.033895253117034,0.1242498119232243,4.326557919448864,5,0,False,42
permABC-Vanilla,1000000.0,6.402383327484131,1000.0,0.006402383327484131,1.6849639021873295,24.106970470802693,112.95864245936576,27.593752766510722,0.024957640104145758,10.057768873639022,0.10871907877335654,4.335670173038184,5,0,False,42
ABC-SMC,950.0,0.14023957252502442,4750.0,0.7011978626251221,26.25920050920498,23.958211754014798,3850.6494282866247,27.593752766353546,7.316049263595561,9.91726139261958,11.259667806343082,11.397689675007646,5,0,False,42
ABC-SMC,1852.0,0.20938177108764647,9260.0,1.0469088554382324,24.40337863712649,23.958004043893972,3634.7410093261915,27.593752766353255,7.306728481464037,9.91629993636718,10.912304772865312,11.08098179413231,5,0,False,42
ABC-SMC,2708.0,0.27700653076171877,13540.0,1.3850326538085938,22.96885504062374,23.963089606013025,3493.3022402562983,27.593752766373832,7.305615779113805,9.925165688267587,10.619236274026278,10.824640738125135,5,0,False,42
ABC-SMC,3521.0,0.3475605487823486,17605.0,1.7378027439117432,21.969001075096944,23.96287919347366,3344.9247460051756,27.59375276639393,7.318439224787548,9.92419625341308,10.362669030491828,10.602868563577925,5,0,False,42
ABC-SMC,4293.0,0.4189727783203125,21465.0,2.0948638916015625,21.236457875780754,23.95673502846588,3228.9378991435487,27.59375276639327,7.295504965384564,9.923447365589293,10.126631604760957,10.40984515994072,5,0,False,42
ABC-SMC,5026.0,0.48865990638732915,25130.0,2.4432995319366455,20.67794755733325,23.95931363765515,3114.229833935138,27.593752766393035,7.254935386098903,9.925539939053488,9.913819423306373,10.22018911762116,5,0,False,42
ABC-SMC,5722.0,0.5539196968078614,28610.0,2.7695984840393066,20.068138877138846,23.95802027825634,2978.6175576332066,27.593752766392598,7.319698156328033,9.9199551126108,9.723358693242826,10.043897879703103,5,0,False,42
ABC-SMC,6383.0,0.6247897148132324,31915.0,3.123948574066162,19.530040983886224,23.975847458067282,2872.2089682306732,27.593752766414948,7.341749007070871,9.928027386102649,9.525876457717349,9.88387357445338,5,0,False,42
ABC-SMC,7011.0,0.6938443183898926,35055.0,3.469221591949463,19.130859322472705,23.977971521135196,2772.8504493796395,27.593752766415108,7.373681407637595,9.928747143810238,9.341782922068475,9.73598051861494,5,0,False,42
ABC-SMC,7607.0,0.7609625339508057,38035.0,3.8048126697540283,18.65276486439886,23.996090895406677,2675.5968016714164,27.593752766416422,7.383323395442008,9.931882360807956,9.174065406038048,9.587452877119702,5,0,False,42
ABC-SMC,8173.0,0.8291728973388671,40865.0,4.145864486694336,18.17677604543666,23.995571921756124,2591.924091217318,27.593752766436925,7.364899120806046,9.93264137392486,8.997166575933264,9.44230427349809,5,0,False,42
ABC-SMC,8710.0,0.896344804763794,43550.0,4.48172402381897,17.73933103926356,23.996295043161062,2507.443769272799,27.59375276645788,7.372447745227693,9.932232519230856,8.847760077028536,9.304232278721697,5,0,False,42
