method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,kl_mu_avg,w2_sigma2,w2_mu_avg,sw2_joint,M0,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.0105984209504139,20000.0,0.0105984209504139,19.020610810546646,23.910402710911505,27310.24139036696,27.63102111426094,7.988318733971459,10.01783150660691,14.837180049525779,14.408264561045879,,20,4,True,45
ABC-Vanilla,2154.4346900318833,0.022833605755132387,43088.693800637666,0.022833605755132387,11.386149585288795,23.91060341266599,27472.412692164537,27.631021114394287,7.87704381940164,10.01742667519753,14.878395414854472,14.447109123945088,,20,4,True,45
ABC-Vanilla,4641.588833612778,0.049193512337368885,92831.77667225557,0.049193512337368885,10.393666036337704,23.911571958108464,27642.269145952458,27.631021114357747,7.962334250840148,10.02279400779553,14.89213469427788,14.470134621963581,,20,4,True,45
ABC-Vanilla,10000.0,0.10598420950413899,200000.0,0.10598420950413899,9.699390090973514,23.906247066575155,27606.225663481368,27.631021114321822,7.980210307803358,10.018282076478172,14.870195550571953,14.459800678701352,,20,4,True,45
ABC-Vanilla,21544.346900318837,0.2283360575513239,430886.93800637673,0.2283360575513239,9.144763353463073,23.918114430884913,27307.313732715043,27.631021114339617,7.977562409606271,10.011554018604533,14.863038620220678,14.444460060197994,,20,4,True,45
ABC-Vanilla,46415.88833612777,0.4919351233736887,928317.7667225554,0.4919351233736887,8.67181563652214,23.905069682416254,27456.773455834416,27.631021114399427,8.028857976479935,10.016709898641077,14.833542873315134,14.414872081506656,,20,4,True,45
ABC-Vanilla,100000.0,1.0598420950413898,2000000.0,1.0598420950413898,8.262875815486668,23.920106869598726,27524.266313904962,27.63102111434324,7.9695093731882904,10.03246481049244,14.804718092031752,14.3757255780696,,20,4,True,45
ABC-Vanilla,215443.4690031882,2.283360575513237,4308869.380063764,2.283360575513237,7.895332075218075,23.93132210393349,27210.32408292516,27.631021114364934,7.963385559250706,10.026527234442124,14.814920268076866,14.39013839196852,,20,4,True,45
ABC-Vanilla,464158.8833612778,4.919351233736888,9283177.667225556,4.919351233736888,7.549898851765237,23.91550870536557,26547.56146884099,27.631021114397896,7.994670241099105,9.996094751706606,14.770590439719275,14.3508994847982,,20,4,True,45
ABC-Vanilla,1000000.0,10.5984209504139,20000000.0,10.5984209504139,7.240050770527076,23.909381957398814,26439.79473564709,27.63102111447231,8.029518515325236,9.98882877124842,14.744590641798624,14.3253803615312,,20,4,True,45
