method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,kl_mu_avg,w2_sigma2,w2_mu_avg,sw2_joint,K,K_outliers,include_osum,seed,M0
ABC-Vanilla,1000.0,0.0031163291931152,1000000.0,3.1163291931152344,58.629479751631465,23.94817204941292,9213.458229535696,27.63102003380476,8.509239164065159,9.995521305851303,16.863374242422807,17.190137200738494,5,2,True,42,
ABC-Vanilla,2154.434690031884,0.0067139277192065,464158.8833612779,1.4464718784625197,25.942974091367248,23.942249186168127,9440.869993102391,27.63102003384371,8.765454539606843,10.0307296620856,16.948707772988804,17.135504271335613,5,2,True,42,
ABC-Vanilla,4641.588833612778,0.0144647187846251,215443.4690031884,0.671392771920653,21.843402523698003,23.93821945509805,9166.94695025996,27.6310200338451,8.338127176260093,9.985338961870749,16.924137726309898,17.15561748344182,5,2,True,42,
ABC-Vanilla,10000.0,0.0311632919311523,100000.0,0.3116329193115235,18.975659151390776,23.94129956129189,9139.88723222386,27.63101876174849,8.902763429431399,9.98071416147307,16.93187995200425,17.23753304843265,5,2,True,42,
ABC-Vanilla,21544.34690031884,0.0671392771920652,46415.88833612779,0.1446471878462519,16.715386599501773,23.93297318066093,9237.165286890578,27.631020033804383,8.738996991188614,9.98202166108159,16.995967199774544,17.20150231048048,5,2,True,42,
ABC-Vanilla,46415.88833612777,0.1446471878462518,21544.346900318847,0.0671392771920653,14.816378342249235,23.95199977916295,9180.809368267795,27.63102003390566,8.831200989352345,9.986165686313315,17.04644503357523,17.149333192663015,5,2,True,42,
ABC-Vanilla,100000.0,0.3116329193115234,10000.0,0.0311632919311523,13.171743479549177,23.97359611124847,9097.18387596486,27.631020033807168,8.764786085101829,9.99139852895846,17.071302679828634,17.24611263644557,5,2,True,42,
ABC-Vanilla,215443.4690031882,0.6713927719206524,4641.588833612783,0.0144647187846252,11.721588341828856,23.96202092817124,9264.011089791757,27.631020033805743,8.433472949875373,9.99645939391556,16.98371568884844,17.25671110714383,5,2,True,42,
ABC-Vanilla,464158.8833612778,1.446471878462519,2154.434690031884,0.0067139277192065,10.422218546743578,23.933327407474827,9134.547501745375,27.63102003384335,8.56665778801614,9.988515677981075,16.94005822086391,17.092806734254093,5,2,True,42,
ABC-Vanilla,1000000.0,3.1163291931152344,1000.0,0.0031163291931152,9.268472172374386,23.955581289189883,9506.729655984109,27.63102003382533,8.273564464717001,10.014407154173966,17.02562750906617,17.240011404317688,5,2,True,42,
permABC-Vanilla,1000.0,0.0064889185428619,1000000.0,6.4889185428619385,46.524124574993614,23.965020472391394,4349.9036496982335,27.63102003384708,9.986653143300826,9.989576004789818,11.543582268872184,11.805880813095053,5,2,True,42,
permABC-Vanilla,2154.434690031884,0.0139799512095329,464158.8833612779,3.011889185077088,16.877338509894308,23.92788740906453,2335.571818350169,27.63102003382352,9.17168018959178,9.989429771311851,7.9846088328280445,8.992768684302417,5,2,True,42,
permABC-Vanilla,4641.588833612778,0.0301188918507708,215443.4690031884,1.3979951209532904,13.34587876067856,23.972758446506383,1581.5652919896802,27.63102003382608,8.139595661105847,10.017154287632058,6.374501430178677,7.680293133737995,5,2,True,42,
permABC-Vanilla,10000.0,0.0648891854286193,100000.0,0.6488918542861939,11.083474362183471,23.969755846724706,1190.5966357199063,27.631020033930128,7.601282291436567,10.00665474032259,5.403441373533086,6.864963886254252,5,2,True,42,
permABC-Vanilla,21544.34690031884,0.139799512095329,46415.88833612779,0.3011889185077088,9.427369765413966,23.968748316293464,897.8266500702036,27.63102003380645,7.0943364741576005,10.00738832751033,4.5905991556558,6.221169117429618,5,2,True,42,
