method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,kl_mu_avg,w2_sigma2,w2_mu_avg,sw2_joint,M0,K,K_outliers,include_osum,seed
ABC-Vanilla,1000.0,0.010759455776060769,20000.0,0.010759455776060769,17.209816339483563,23.905886874451838,21881.107863890025,27.63102111437472,7.5566518521666595,9.99723066054002,13.442749487430087,13.811877104551698,,20,0,True,45
ABC-Vanilla,2154.4346900318833,0.023180544769809238,43088.693800637666,0.023180544769809238,10.204269852637156,23.916342291751953,22032.111993895247,27.631021114341113,7.589553761391184,10.015052029218014,13.416006288394708,13.778729981152077,,20,0,True,45
ABC-Vanilla,4641.588833612778,0.049940969785914176,92831.77667225557,0.049940969785914176,9.244406777362734,23.9114028278888,21949.10061872757,27.631021114342143,7.7112384204121085,9.997567022071777,13.453736132987768,13.823620438254913,,20,0,True,45
ABC-Vanilla,10000.0,0.1075945577606077,200000.0,0.1075945577606077,8.575453789994231,23.919036552963437,22102.083088771735,27.631021114379312,7.602233738541633,10.009883320897734,13.448626165882184,13.836821446220759,,20,0,True,45
ABC-Vanilla,21544.346900318837,0.23180544769809244,430886.93800637673,0.23180544769809244,8.044899799264439,23.914488386702374,22166.416421423633,27.631021114438543,7.67792823092573,10.010696030573891,13.451976765226854,13.82066261353215,,20,0,True,45
ABC-Vanilla,46415.88833612777,0.49940969785914163,928317.7667225554,0.49940969785914163,7.595076294803166,23.91772307520379,22183.196138576342,27.631021114360276,7.677024660977954,10.013942623709314,13.44357556941774,13.829093637617586,,20,0,True,45
ABC-Vanilla,100000.0,1.075945577606077,2000000.0,1.075945577606077,7.198107781433469,23.928820532453575,22197.02225971542,27.631021114362735,7.679852073462096,10.023864314504108,13.481894741929992,13.81985232734651,,20,0,True,45
ABC-Vanilla,215443.4690031882,2.3180544769809224,4308869.380063764,2.3180544769809224,6.846909971474064,23.93365947221877,22420.986626771293,27.63102111443795,7.597320136560148,10.032319797196221,13.484073693276969,13.832201782071254,,20,0,True,45
ABC-Vanilla,464158.8833612778,4.9940969785914175,9283177.667225556,4.9940969785914175,6.5320150626199975,23.916606052762234,22431.448086156186,27.631021114434624,7.637414714413239,10.022463501273863,13.475477129313646,13.83210479650022,,20,0,True,45
ABC-Vanilla,1000000.0,10.759455776060769,20000000.0,10.759455776060769,6.242561926905951,23.91823520348575,22389.674267100367,27.63102111449183,7.720059088524276,10.015418858359007,13.498316794942301,13.826748810493575,,20,0,True,45
