method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,kl_mu_avg,w2_sigma2,w2_mu_avg,sw2_joint,K,K_outliers,include_osum,seed,M0
ABC-Vanilla,1000.0,0.0107664370536804,1000000.0,10.76643705368042,17.878961531170752,23.940231829986622,23162.247184197746,27.63102111457444,7.922408131109402,10.006319563458812,13.495686283797983,14.17917747049768,20,1,True,42,
ABC-Vanilla,2154.434690031884,0.0231955854764937,464158.8833612779,4.997337400615791,10.522271054753826,23.961893575123845,23429.48386466185,27.631021114657816,7.837127141110718,10.005707973836651,13.571506061672771,14.31638859417618,20,1,True,42,
ABC-Vanilla,4641.588833612778,0.0499733740061579,215443.4690031884,2.3195585476493763,9.555484850396471,23.95145228540861,23281.521144090657,27.631021114555683,7.854850658246631,10.01631236553591,13.478194713086785,14.225678558479904,20,1,True,42,
ABC-Vanilla,10000.0,0.1076643705368042,100000.0,1.076643705368042,8.880241809743403,23.984276604541165,24002.30706949949,27.631021114597075,7.946750318272945,10.040585106474808,13.589961416864274,14.333292741806195,20,1,True,42,
ABC-Vanilla,21544.34690031884,0.2319558547649376,46415.88833612779,0.4997337400615791,8.338564881713594,23.90905821259316,23691.353159660768,27.63102111453227,7.615048231779397,10.030114075156634,13.46190114666506,14.109276211525732,20,1,True,42,
ABC-Vanilla,46415.88833612777,0.4997337400615788,21544.346900318847,0.2319558547649377,7.881583797160302,23.96830923702709,23830.350402262942,27.631021114595057,7.923993408312803,10.040847258178909,13.562222939713608,14.270135257189082,20,1,True,42,
ABC-Vanilla,100000.0,1.076643705368042,10000.0,0.1076643705368042,7.487804721413747,23.919969587359446,23503.564850954703,27.631021114572167,7.7209914461839855,10.000418323808288,13.595893720676433,14.293960531509946,20,1,True,42,
ABC-Vanilla,215443.4690031882,2.3195585476493745,4641.588833612783,0.0499733740061579,7.1368846480189045,23.95906959387856,22613.80091243761,27.63102111461866,7.847951538565288,9.98731352350431,13.40314570882297,14.103304464324662,20,1,True,42,
ABC-Vanilla,464158.8833612778,4.997337400615789,2154.434690031884,0.0231955854764937,6.8106678284999225,23.99177377437072,22684.37663127483,27.631021114620623,8.079865987014358,10.009500677747637,13.406852506676362,14.138014817203514,20,1,True,42,
ABC-Vanilla,1000000.0,10.76643705368042,1000.0,0.0107664370536804,6.512441612978627,23.97994257630944,22926.01543193611,27.63102111459774,7.866980391427778,10.01458080247159,13.40998147359149,14.125285289635553,20,1,True,42,
permABC-Vanilla,1000.0,0.0296879127025604,1000000.0,29.687912702560425,10.033606762478168,23.934753291369752,3361.526963358994,27.63102111459328,7.108275462713257,9.991156626829124,4.755030288355648,5.349977483922763,20,1,True,42,
permABC-Vanilla,2154.434690031884,0.0639606690010343,464158.8833612779,13.779908409347543,3.441300823559998,23.97350597188818,1833.9576690809613,27.631021114555484,4.073639781170527,10.023105890887912,2.9167074827469834,3.925073220007997,20,1,True,42,
permABC-Vanilla,4641.588833612778,0.1377990840934754,215443.4690031884,6.39606690010344,2.7112981475115565,23.975368789486268,1384.642292755103,27.63102111463809,2.706915955407489,10.03164202768956,2.2077615015998484,3.411603825262362,20,1,True,42,
permABC-Vanilla,10000.0,0.2968791270256042,100000.0,2.968791270256043,2.2991742690594714,23.95219587352789,1140.7585034636893,27.63102111459407,1.970548048988893,10.027439663891228,1.7894703501133002,3.090318812946101,20,1,True,42,
permABC-Vanilla,21544.34690031884,0.639606690010344,46415.88833612779,1.3779908409347543,2.019745162424326,23.995525038007383,997.9480531904572,27.63102111471989,1.5504691824543793,10.07350356105334,1.5250439271036962,2.911352739096768,20,1,True,42,
permABC-Vanilla,46415.88833612777,1.377990840934754,21544.346900318847,0.6396066900103442,1.810747858490413,24.01532475165456,894.4515024363322,27.63102111464196,1.211137725018649,10.101099591933378,1.3236664227443666,2.795084110484393,20,1,True,42,
permABC-Vanilla,100000.0,2.968791270256043,10000.0,0.2968791270256042,1.6470722076722806,24.0268919937242,807.7698376351018,27.63102111474324,0.9328187553658124,10.112058664354736,1.1611905812069303,2.703535705014653,20,1,True,42,
permABC-Vanilla,215443.4690031882,6.396066900103434,4641.588833612783,0.1377990840934755,1.5121370878665292,24.04570095007888,743.2776930232072,27.63102111472679,0.7114629560772149,10.133868735635453,1.0154820621669205,2.6320006000913687,20,1,True,42,
permABC-Vanilla,464158.8833612778,13.779908409347543,2154.434690031884,0.0639606690010344,1.3985611647768446,24.031719105647326,688.168410219722,27.63102111474585,0.5503996716595446,10.1199586048792,0.8978927810632685,2.5700705048603365,20,1,True,42,
permABC-Vanilla,1000000.0,29.687912702560425,1000.0,0.0296879127025604,1.3033448647667103,24.07400341611779,650.213247766439,27.63102111477028,0.4386810535758955,10.148433746350996,0.8051913605521541,2.547538487026931,20,1,True,42,
ABC-SMC,950.0,0.038963782787323,19000.0,0.77927565574646,13.011715059645224,23.98514872582951,22251.55522342134,27.63102111459856,7.801996854581357,10.009080210207928,13.33460756045822,13.987066390544411,20,1,True,42,
ABC-SMC,1852.0,0.0604130029678344,37040.0,1.2082600593566897,12.556257806826382,23.988393482416427,21803.87826014327,27.631021114619088,7.787451939244159,10.012807780958331,13.170355306607666,13.806112226016651,20,1,True,42,
