method,,permABC-SMC-OS,permABC-SMC-OS,permABC-SMC-OS,permABC-SMC-OS,permABC-SMC-UM,permABC-SMC-UM,permABC-SMC-UM,permABC-SMC-UM
metric,,epsilon,epsilon,sw2_joint,sw2_joint,epsilon,epsilon,sw2_joint,sw2_joint
x_col,,n_sim,time,n_sim,time,n_sim,time,n_sim,time
K,K_outliers,,,,,,,,
2,0,3.6770060828431586,3.032524411333712,0.9695059564905988,0.9764279049294488,1.0135902844069784,,0.9809056039191129,
2,1,14.02212458623577,1.9677845694210694,1.051142476326266,1.0960160911627947,1.032737788604149,,0.9918434868744536,
5,0,1.3266064823402233,1.6396060463554698,0.9881200666758863,0.9908747802103287,0.21830830425796754,0.603096568595967,0.7514977108679353,0.9877187390438863
5,1,1.4928461435785965,2.7918728448587258,1.0000144911513662,0.9857266135757489,0.19679616066699324,0.4919037642997101,0.6487510428455097,0.958979484222493
5,2,1.3061540813053918,3.5279422111971415,1.0520223718341262,1.0750899735901904,0.1920875608643217,0.28526004504827074,0.4366788685068355,0.5903174275408405
5,3,2.2145584381469967,1.550185597707434,1.077737716065348,1.0318641869179406,0.2933284501065499,0.42916659163339627,0.4660408939087182,0.64742803076518
5,4,1.3594116074809808,5.727099935200371,1.0376698690491017,1.1058611788506878,0.3978684849514827,0.5554795520213658,0.48064476219947805,0.617054230680362
10,0,0.712178763490034,0.7989656012673332,1.0129862615224574,1.005954196880723,0.6139116092061899,1.2513326795813184,1.0667877102332013,1.0375657867526622
10,1,0.865158320093909,1.0070526481013948,1.0032880252803102,0.998206157890629,0.37523813765118536,1.2887337938450054,0.8112638018087825,1.0395259719557617
10,2,0.9610097940938138,0.8378491236991867,0.999353088733621,0.9971783017292424,0.27894555079814876,1.290119465964152,0.6245403693236973,1.16773152413276
10,3,0.8434263855781728,0.7458043771184412,0.9996506002113604,0.9927844499537004,0.21380587912709925,0.400084548372043,0.5641083799409737,0.8507687792998214
10,4,0.8638722134759379,0.8580598030528948,0.9925597288017363,0.9958534260286809,0.43086192283223534,0.9916784542071172,0.5530274028685455,1.0017550113425784
10,5,0.8209965566195496,0.79716809023136,0.94565628710414,0.935560757775449,0.3883286710708632,0.7736364192603187,0.4955648648703939,0.869645014662527
15,0,0.6025001680571367,0.5744704603902052,1.0075201605793451,1.0126875476612827,0.4533139078274962,1.1171407966187366,1.0183455928732532,1.0466034923082854
15,1,0.6064172854851079,0.6961448676520992,1.0303639435133007,1.0278358577635995,0.38659645895057093,1.5342187505169664,0.640810504970181,1.0857655929955765
15,2,0.7180216887348269,1.2594611442766501,1.0079515302005686,0.9839591066767777,0.3851070078100583,2.313346617842043,0.6215830084951084,1.2122688832361586
15,3,0.6510923694289094,1.2290089319690347,1.0167395194398492,0.9871600677282266,0.40623428887591917,1.5854637622501417,0.5310962914461451,1.0921244530485514
15,4,0.6150910606001129,0.7916659642467028,1.0095333996524853,1.0100353474214816,0.3414128465967409,2.6455911608468337,0.4765953128775644,1.1321243238663397
15,5,0.6025950691968629,1.4812481587612607,0.8959867306255526,0.9953585077642135,0.2797296276736504,1.2320589713725658,0.4112781456909872,1.1393871495479782
20,0,0.5052864994650791,,1.0291284935994252,,0.5038028286157514,1.5220139490300015,0.9261845506566246,1.0271755086115604
20,1,0.5025253753682742,0.7086008156611533,1.0156977855828266,1.0197354726130825,0.49825977338221833,1.4816465175929627,0.906480037732363,1.0177026987619495
20,2,0.5177265199220141,0.8519927069994034,1.0235363686110086,1.0198403901795867,0.34003482933389867,2.1524455937517217,0.5892095221377883,1.0999687972214405
20,3,0.5160693125222547,,1.0201286749580545,,0.2820378292268053,1.0856778629344463,0.6819261464129902,1.0744212070791137
20,4,0.4732041486548714,0.7778396582482519,1.0281572776710273,1.0220428882419428,0.3884463485305452,1.8738043709382832,0.5669325263387307,0.9906986473843116
20,5,0.5076059423539004,1.0394072506256349,0.9405066442787946,1.0060698462154016,0.3966970347266097,2.317743505634665,0.48412837468431463,1.1838268347389433
30,0,0.48369539110523013,,1.0927972579713778,,1.105600907207652,,1.0841146554647563,
30,1,0.4411483071161933,,1.070722126319873,,0.9769123459859689,,1.1570992632294856,
30,2,0.5130268469255427,,1.0593638896447797,,0.6466087280290128,1.9764411440794305,0.9278612266609326,1.0871615192241766
30,3,0.49864993150971915,,1.0724237915964139,,1.1550542415815344,,1.2564103927487553,
30,4,0.4701178216945708,,1.0684698727399964,,0.8356218020112952,,1.1815141724801936,
30,5,0.4549246887815793,,1.0343275317329919,,0.5884545078213996,1.3710858194636757,0.9975040526919533,1.1408959228795499
