Host : clust2
Date : Fri Apr 18 03:42:22 CEST 2025
Cœurs CPU alloués : 1
Importation done
Importing data...
From 2020-03-24T00:00:00.000000000 to 2020-07-21T00:00:00.000000000
Data importation done!
Iteration 0: Epsilon = inf, ESS = 1000 Acc. rate = 100% Numb. unique particles = 1000
Iteration 34: Espilon = 37266.0939, ESS = 734 Acc. rate = 51.09% Uniqueness rate particules = 97.9% Uniqueness rate components = 97.9% Global parameters uniqueness rate = 97.9%

Iteration 35: Espilon = 35796.5690, ESS = 697 Acc. rate = 52.37% Uniqueness rate particules = 97.9% Uniqueness rate components = 97.9% Global parameters uniqueness rate = 97.9%

Iteration 36: Espilon = 34614.7339, ESS = 662 Acc. rate = 47.28% Uniqueness rate particules = 98.0% Uniqueness rate components = 98.0% Global parameters uniqueness rate = 98.0%

Iteration 37: Espilon = 32982.5937, ESS = 628 Acc. rate = 48.89% Uniqueness rate particules = 98.0% Uniqueness rate components = 98.0% Global parameters uniqueness rate = 98.0%

Iteration 38: Espilon = 31247.5248, ESS = 596 Acc. rate = 49.66% Uniqueness rate particules = 98.0% Uniqueness rate components = 98.0% Global parameters uniqueness rate = 98.0%

Iteration 39: Espilon = 29802.1598, ESS = 566 Acc. rate = 49.82% Uniqueness rate particules = 98.0% Uniqueness rate components = 98.0% Global parameters uniqueness rate = 98.0%

Iteration 40: Espilon = 27964.9131, ESS = 537 Acc. rate = 51.58% Uniqueness rate particules = 98.0% Uniqueness rate components = 98.0% Global parameters uniqueness rate = 98.0%

Iteration 41: Espilon = 26854.4904, ESS = 510 Acc. rate = 51.96% Uniqueness rate particules = 98.0% Uniqueness rate components = 98.0% Global parameters uniqueness rate = 98.0%

Resampling... 484 unique particles left
Iteration 42: Espilon = 25264.3623, ESS = 1000 Acc. rate = 51.90% Uniqueness rate particules = 87.4% Uniqueness rate components = 87.4% Global parameters uniqueness rate = 87.4%

Iteration 43: Espilon = 23404.4678, ESS = 950 Acc. rate = 49.68% Uniqueness rate particules = 94.8% Uniqueness rate components = 94.8% Global parameters uniqueness rate = 94.8%

Iteration 44: Espilon = 21660.7029, ESS = 902 Acc. rate = 50.89% Uniqueness rate particules = 96.5% Uniqueness rate components = 96.5% Global parameters uniqueness rate = 96.5%

Iteration 45: Espilon = 19932.0044, ESS = 856 Acc. rate = 51.75% Uniqueness rate particules = 96.8% Uniqueness rate components = 96.8% Global parameters uniqueness rate = 96.8%

Iteration 46: Espilon = 18043.2813, ESS = 813 Acc. rate = 50.06% Uniqueness rate particules = 96.9% Uniqueness rate components = 96.9% Global parameters uniqueness rate = 96.9%

Iteration 47: Espilon = 16529.9961, ESS = 772 Acc. rate = 50.78% Uniqueness rate particules = 97.1% Uniqueness rate components = 97.1% Global parameters uniqueness rate = 97.1%

Iteration 48: Espilon = 14953.5654, ESS = 733 Acc. rate = 50.61% Uniqueness rate particules = 97.1% Uniqueness rate components = 97.1% Global parameters uniqueness rate = 97.1%

Iteration 49: Espilon = 13496.9016, ESS = 696 Acc. rate = 51.58% Uniqueness rate particules = 97.2% Uniqueness rate components = 97.2% Global parameters uniqueness rate = 97.2%

Iteration 50: Espilon = 12313.1812, ESS = 661 Acc. rate = 53.25% Uniqueness rate particules = 97.3% Uniqueness rate components = 97.3% Global parameters uniqueness rate = 97.3%

Iteration 51: Espilon = 10752.3985, ESS = 628 Acc. rate = 50.00% Uniqueness rate particules = 97.3% Uniqueness rate components = 97.3% Global parameters uniqueness rate = 97.3%

Iteration 52: Espilon = 9511.7177, ESS = 596 Acc. rate = 48.15% Uniqueness rate particules = 97.3% Uniqueness rate components = 97.3% Global parameters uniqueness rate = 97.3%

Iteration 53: Espilon = 8321.5331, ESS = 566 Acc. rate = 46.29% Uniqueness rate particules = 97.3% Uniqueness rate components = 97.3% Global parameters uniqueness rate = 97.3%

Iteration 54: Espilon = 7179.9709, ESS = 537 Acc. rate = 46.18% Uniqueness rate particules = 97.3% Uniqueness rate components = 97.3% Global parameters uniqueness rate = 97.3%

Iteration 55: Espilon = 6041.6918, ESS = 510 Acc. rate = 46.47% Uniqueness rate particules = 97.3% Uniqueness rate components = 97.3% Global parameters uniqueness rate = 97.3%

Resampling... 484 unique particles left
