Host : clust2
Date : Fri Apr 18 03:43:19 CEST 2025
Cœurs CPU alloués : 1
Importation done
Importing data...
From 2020-03-24T00:00:00.000000000 to 2020-07-21T00:00:00.000000000
Data importation done!
Iteration 0: Epsilon = inf, ESS = 1000 Acc. rate = 100% Numb. unique particles = 1000
Iteration 1: Espilon = 135108.3944, ESS = 950 Acc. rate = 82.21% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 2: Espilon = 97798.2671, ESS = 902 Acc. rate = 79.49% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 3: Espilon = 85511.3022, ESS = 856 Acc. rate = 75.23% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 4: Espilon = 79301.4092, ESS = 813 Acc. rate = 76.01% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 5: Espilon = 74265.1367, ESS = 772 Acc. rate = 72.54% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 6: Espilon = 71140.1382, ESS = 733 Acc. rate = 68.08% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 7: Espilon = 68751.3465, ESS = 696 Acc. rate = 67.39% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 8: Espilon = 67417.4599, ESS = 661 Acc. rate = 66.87% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 9: Espilon = 66110.3267, ESS = 628 Acc. rate = 66.88% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 10: Espilon = 64869.0624, ESS = 596 Acc. rate = 62.75% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 11: Espilon = 63891.5906, ESS = 566 Acc. rate = 62.01% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 12: Espilon = 63170.8204, ESS = 537 Acc. rate = 57.54% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Iteration 13: Espilon = 62633.1867, ESS = 510 Acc. rate = 60.98% Uniqueness rate particules = 100.0% Uniqueness rate components = 100.0% Global parameters uniqueness rate = 100.0%

Resampling... 484 unique particles left
Iteration 14: Espilon = 61914.6294, ESS = 1000 Acc. rate = 60.30% Uniqueness rate particules = 90.9% Uniqueness rate components = 90.9% Global parameters uniqueness rate = 90.9%

Iteration 15: Espilon = 61237.2008, ESS = 950 Acc. rate = 52.95% Uniqueness rate particules = 96.7% Uniqueness rate components = 96.7% Global parameters uniqueness rate = 96.7%

Iteration 16: Espilon = 60715.7377, ESS = 902 Acc. rate = 55.10% Uniqueness rate particules = 98.0% Uniqueness rate components = 98.0% Global parameters uniqueness rate = 98.0%

Iteration 17: Espilon = 60211.2675, ESS = 856 Acc. rate = 53.04% Uniqueness rate particules = 98.2% Uniqueness rate components = 98.2% Global parameters uniqueness rate = 98.2%

Iteration 18: Espilon = 59549.1754, ESS = 813 Acc. rate = 55.35% Uniqueness rate particules = 98.2% Uniqueness rate components = 98.2% Global parameters uniqueness rate = 98.2%

Iteration 19: Espilon = 58749.1942, ESS = 772 Acc. rate = 53.89% Uniqueness rate particules = 98.2% Uniqueness rate components = 98.2% Global parameters uniqueness rate = 98.2%

Iteration 20: Espilon = 57860.3256, ESS = 733 Acc. rate = 52.93% Uniqueness rate particules = 98.2% Uniqueness rate components = 98.2% Global parameters uniqueness rate = 98.2%

Iteration 21: Espilon = 56816.8228, ESS = 696 Acc. rate = 51.58% Uniqueness rate particules = 98.2% Uniqueness rate components = 98.2% Global parameters uniqueness rate = 98.2%

Iteration 22: Espilon = 55899.4354, ESS = 661 Acc. rate = 51.29% Uniqueness rate particules = 98.2% Uniqueness rate components = 98.2% Global parameters uniqueness rate = 98.2%

Iteration 23: Espilon = 55048.4019, ESS = 628 Acc. rate = 52.71% Uniqueness rate particules = 98.2% Uniqueness rate components = 98.2% Global parameters uniqueness rate = 98.2%

Iteration 24: Espilon = 54189.9168, ESS = 596 Acc. rate = 54.53% Uniqueness rate particules = 98.2% Uniqueness rate components = 98.2% Global parameters uniqueness rate = 98.2%

Iteration 25: Espilon = 53175.8481, ESS = 566 Acc. rate = 53.00% Uniqueness rate particules = 98.2% Uniqueness rate components = 98.2% Global parameters uniqueness rate = 98.2%

Iteration 26: Espilon = 51956.4065, ESS = 537 Acc. rate = 51.58% Uniqueness rate particules = 98.2% Uniqueness rate components = 98.2% Global parameters uniqueness rate = 98.2%

Iteration 27: Espilon = 50534.6113, ESS = 510 Acc. rate = 53.33% Uniqueness rate particules = 98.2% Uniqueness rate components = 98.2% Global parameters uniqueness rate = 98.2%

Resampling... 483 unique particles left
Iteration 28: Espilon = 48887.9072, ESS = 1000 Acc. rate = 48.90% Uniqueness rate particules = 84.1% Uniqueness rate components = 84.1% Global parameters uniqueness rate = 84.1%

Iteration 29: Espilon = 47325.6388, ESS = 950 Acc. rate = 48.74% Uniqueness rate particules = 93.4% Uniqueness rate components = 93.4% Global parameters uniqueness rate = 93.4%

Iteration 30: Espilon = 45290.4600, ESS = 902 Acc. rate = 48.45% Uniqueness rate particules = 95.4% Uniqueness rate components = 95.4% Global parameters uniqueness rate = 95.4%

Iteration 31: Espilon = 43969.7997, ESS = 856 Acc. rate = 49.88% Uniqueness rate particules = 96.3% Uniqueness rate components = 96.3% Global parameters uniqueness rate = 96.3%

Iteration 32: Espilon = 42082.9010, ESS = 813 Acc. rate = 51.91% Uniqueness rate particules = 96.7% Uniqueness rate components = 96.7% Global parameters uniqueness rate = 96.7%

Iteration 33: Espilon = 40493.3619, ESS = 772 Acc. rate = 50.26% Uniqueness rate particules = 96.7% Uniqueness rate components = 96.7% Global parameters uniqueness rate = 96.7%

Iteration 34: Espilon = 38755.3672, ESS = 733 Acc. rate = 48.84% Uniqueness rate particules = 96.8% Uniqueness rate components = 96.8% Global parameters uniqueness rate = 96.8%

Iteration 35: Espilon = 37168.9093, ESS = 696 Acc. rate = 52.16% Uniqueness rate particules = 96.8% Uniqueness rate components = 96.8% Global parameters uniqueness rate = 96.8%

Iteration 36: Espilon = 35212.8340, ESS = 661 Acc. rate = 50.23% Uniqueness rate particules = 96.8% Uniqueness rate components = 96.8% Global parameters uniqueness rate = 96.8%

Iteration 37: Espilon = 33578.6735, ESS = 628 Acc. rate = 53.50% Uniqueness rate particules = 96.8% Uniqueness rate components = 96.8% Global parameters uniqueness rate = 96.8%

Iteration 38: Espilon = 31451.9451, ESS = 596 Acc. rate = 45.81% Uniqueness rate particules = 96.8% Uniqueness rate components = 96.8% Global parameters uniqueness rate = 96.8%

Iteration 39: Espilon = 29709.3061, ESS = 566 Acc. rate = 46.82% Uniqueness rate particules = 96.9% Uniqueness rate components = 96.9% Global parameters uniqueness rate = 96.9%

Iteration 40: Espilon = 27455.9156, ESS = 537 Acc. rate = 46.55% Uniqueness rate particules = 97.0% Uniqueness rate components = 97.0% Global parameters uniqueness rate = 97.0%

Iteration 41: Espilon = 25357.5662, ESS = 510 Acc. rate = 43.14% Uniqueness rate particules = 97.1% Uniqueness rate components = 97.1% Global parameters uniqueness rate = 97.1%

Resampling... 481 unique particles left
Iteration 42: Espilon = 23752.8452, ESS = 1000 Acc. rate = 43.70% Uniqueness rate particules = 81.8% Uniqueness rate components = 81.8% Global parameters uniqueness rate = 81.8%

Iteration 43: Espilon = 21843.9647, ESS = 950 Acc. rate = 43.47% Uniqueness rate particules = 91.3% Uniqueness rate components = 91.3% Global parameters uniqueness rate = 91.3%

Iteration 44: Espilon = 20367.0953, ESS = 902 Acc. rate = 42.13% Uniqueness rate particules = 94.3% Uniqueness rate components = 94.3% Global parameters uniqueness rate = 94.3%

Iteration 45: Espilon = 18265.3483, ESS = 856 Acc. rate = 39.25% Uniqueness rate particules = 95.2% Uniqueness rate components = 95.2% Global parameters uniqueness rate = 95.2%

Iteration 46: Espilon = 16221.8102, ESS = 813 Acc. rate = 41.21% Uniqueness rate particules = 95.5% Uniqueness rate components = 95.5% Global parameters uniqueness rate = 95.5%

Iteration 47: Espilon = 14709.9605, ESS = 772 Acc. rate = 40.28% Uniqueness rate particules = 95.8% Uniqueness rate components = 95.8% Global parameters uniqueness rate = 95.8%

Iteration 48: Espilon = 13249.9085, ESS = 733 Acc. rate = 44.20% Uniqueness rate particules = 95.8% Uniqueness rate components = 95.8% Global parameters uniqueness rate = 95.8%

Iteration 49: Espilon = 11600.0974, ESS = 696 Acc. rate = 40.66% Uniqueness rate particules = 95.8% Uniqueness rate components = 95.8% Global parameters uniqueness rate = 95.8%

Iteration 50: Espilon = 10425.5065, ESS = 661 Acc. rate = 39.33% Uniqueness rate particules = 95.8% Uniqueness rate components = 95.8% Global parameters uniqueness rate = 95.8%

Iteration 51: Espilon = 9150.1501, ESS = 628 Acc. rate = 39.01% Uniqueness rate particules = 95.8% Uniqueness rate components = 95.8% Global parameters uniqueness rate = 95.8%

Iteration 52: Espilon = 7915.8494, ESS = 596 Acc. rate = 41.95% Uniqueness rate particules = 95.9% Uniqueness rate components = 95.9% Global parameters uniqueness rate = 95.9%

Iteration 53: Espilon = 6825.7831, ESS = 566 Acc. rate = 39.22% Uniqueness rate particules = 95.9% Uniqueness rate components = 95.9% Global parameters uniqueness rate = 95.9%

